period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-144.000,-143.000,-142.000,-141.000,-139.000,-135.000,-132.000,-128.000,-125.000,-119.000,-96.000,52
-1.661344,-144.000,-142.000,-141.000,-140.000,-139.000,-135.000,-131.000,-127.000,-124.000,-118.000,-95.000,52
-1.623715,-143.000,-141.000,-140.000,-140.000,-138.000,-134.000,-131.000,-126.000,-123.000,-118.000,-96.000,52
-1.586080,-143.000,-140.000,-139.000,-138.000,-137.000,-134.000,-130.000,-126.000,-122.000,-117.000,-96.000,52
-1.548459,-143.000,-140.000,-139.000,-138.000,-137.000,-133.000,-130.000,-125.000,-122.000,-117.000,-96.000,52
-1.510829,-142.000,-139.000,-137.000,-137.000,-135.000,-132.000,-129.000,-124.000,-121.000,-115.000,-95.000,52
-1.473196,-141.000,-138.000,-137.000,-136.000,-135.000,-132.000,-128.000,-124.000,-121.000,-115.000,-95.000,52
-1.435571,-141.000,-139.000,-137.000,-136.000,-135.000,-132.000,-128.000,-124.000,-121.000,-115.000,-95.000,52
-1.397940,-140.000,-138.000,-136.000,-135.000,-134.000,-131.000,-128.000,-124.000,-121.000,-115.000,-97.000,52
-1.360314,-140.000,-138.000,-136.000,-135.000,-134.000,-131.000,-128.000,-124.000,-121.000,-115.000,-98.000,52
-1.322685,-141.000,-138.000,-136.000,-135.000,-134.000,-131.000,-129.000,-124.000,-122.000,-115.000,-99.000,52
-1.285050,-141.000,-139.000,-137.000,-136.000,-134.000,-132.000,-129.000,-125.000,-123.000,-115.000,-99.000,52
-1.247421,-141.000,-139.000,-137.000,-136.000,-135.000,-132.000,-129.000,-126.000,-124.000,-116.000,-99.000,52
-1.209799,-142.000,-139.000,-138.000,-137.000,-136.000,-133.000,-131.000,-128.000,-126.000,-117.000,-103.000,52
-1.172166,-143.000,-140.000,-139.000,-138.000,-136.000,-134.000,-131.000,-130.000,-127.000,-119.000,-106.000,52
-1.134541,-143.000,-141.000,-139.000,-138.000,-137.000,-135.000,-132.000,-130.000,-128.000,-119.000,-107.000,52
-1.096910,-147.000,-144.000,-142.000,-141.000,-139.000,-137.000,-134.000,-132.000,-130.000,-121.000,-109.000,52
-1.059279,-148.000,-145.000,-143.000,-142.000,-140.000,-138.000,-135.000,-133.000,-131.000,-122.000,-109.000,52
