period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-144.000,-137.000,-131.000,-124.000,-109.000,52
-1.661344,-148.000,-148.000,-148.000,-148.000,-147.000,-146.000,-143.000,-137.000,-131.000,-123.000,-108.000,52
-1.623715,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-142.000,-135.000,-131.000,-123.000,-108.000,52
-1.586080,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-141.000,-134.000,-130.000,-123.000,-108.000,52
-1.548459,-149.000,-148.000,-148.000,-148.000,-147.000,-145.000,-141.000,-134.000,-130.000,-122.000,-106.000,52
-1.510829,-148.000,-148.000,-147.000,-147.000,-146.000,-145.000,-140.000,-133.000,-129.000,-122.000,-102.000,52
-1.473196,-148.000,-148.000,-147.000,-147.000,-146.000,-144.000,-139.000,-132.000,-129.000,-121.000,-100.000,52
-1.435571,-149.000,-148.000,-148.000,-147.000,-147.000,-144.000,-139.000,-132.000,-129.000,-122.000,-98.000,52
-1.397940,-150.000,-149.000,-148.000,-148.000,-147.000,-145.000,-139.000,-132.000,-129.000,-121.000,-95.000,52
-1.360314,-151.000,-150.000,-149.000,-148.000,-147.000,-145.000,-139.000,-132.000,-129.000,-122.000,-93.000,52
-1.322685,-151.000,-150.000,-149.000,-149.000,-147.000,-145.000,-139.000,-133.000,-130.000,-122.000,-92.000,52
-1.285050,-152.000,-150.000,-149.000,-149.000,-147.000,-145.000,-140.000,-134.000,-131.000,-123.000,-92.000,52
-1.247421,-152.000,-151.000,-150.000,-149.000,-148.000,-145.000,-141.000,-136.000,-131.000,-123.000,-91.000,52
-1.209799,-153.000,-152.000,-151.000,-150.000,-149.000,-147.000,-143.000,-137.000,-132.000,-123.000,-90.000,52
-1.172166,-155.000,-153.000,-152.000,-152.000,-150.000,-148.000,-144.000,-138.000,-133.000,-124.000,-90.000,52
-1.134541,-156.000,-155.000,-154.000,-153.000,-151.000,-148.000,-144.000,-139.000,-135.000,-125.000,-89.000,52
-1.096910,-157.000,-156.000,-155.000,-154.000,-152.000,-148.000,-144.000,-140.000,-135.000,-126.000,-89.000,52
-1.059279,-158.000,-156.000,-155.000,-154.000,-152.000,-148.000,-144.000,-140.000,-135.000,-126.000,-89.000,52
-1.021651,-159.000,-157.000,-156.000,-154.000,-152.000,-148.000,-144.000,-140.000,-136.000,-125.000,-89.000,52
-0.984024,-159.000,-157.000,-156.000,-155.000,-152.000,-148.000,-144.000,-140.000,-136.000,-124.000,-88.000,52
-0.946395,-160.000,-158.000,-156.000,-155.000,-153.000,-148.000,-144.000,-140.000,-135.000,-124.000,-88.000,52
-0.908766,-160.000,-158.000,-157.000,-155.000,-153.000,-148.000,-144.000,-140.000,-135.000,-124.000,-89.000,52
-0.871139,-160.000,-158.000,-157.000,-155.000,-153.000,-148.000,-144.000,-139.000,-135.000,-123.000,-88.000,52
-0.833508,-160.000,-158.000,-156.000,-155.000,-152.000,-148.000,-144.000,-139.000,-135.000,-122.000,-89.000,52
-0.795880,-160.000,-158.000,-157.000,-156.000,-154.000,-149.000,-145.000,-140.000,-135.000,-121.000,-89.000,52
-0.758252,-162.000,-160.000,-158.000,-157.000,-155.000,-150.000,-146.000,-140.000,-134.000,-122.000,-90.000,52
-0.720623,-162.000,-160.000,-158.000,-157.000,-155.000,-151.000,-146.000,-140.000,-135.000,-121.000,-91.000,52
-0.682994,-162.000,-160.000,-158.000,-157.000,-155.000,-151.000,-146.000,-140.000,-135.000,-121.000,-92.000,52
-0.645365,-162.000,-160.000,-158.000,-157.000,-155.000,-151.000,-146.000,-139.000,-135.000,-121.000,-92.000,52
-0.607736,-162.000,-160.000,-158.000,-157.000,-155.000,-151.000,-146.000,-139.000,-134.000,-121.000,-92.000,52
-0.570107,-162.000,-160.000,-158.000,-157.000,-155.000,-151.000,-146.000,-139.000,-134.000,-121.000,-95.000,52
-0.532479,-161.000,-159.000,-158.000,-157.000,-155.000,-151.000,-146.000,-139.000,-134.000,-121.000,-95.000,52
-0.494850,-161.000,-159.000,-158.000,-157.000,-155.000,-151.000,-146.000,-139.000,-135.000,-122.000,-97.000,52
-0.457222,-160.000,-158.000,-157.000,-156.000,-155.000,-151.000,-146.000,-139.000,-135.000,-122.000,-97.000,52
-0.419593,-159.000,-157.000,-156.000,-155.000,-154.000,-150.000,-146.000,-139.000,-135.000,-122.000,-96.000,52
-0.381963,-158.000,-156.000,-155.000,-154.000,-153.000,-150.000,-146.000,-140.000,-135.000,-121.000,-96.000,52
-0.344335,-158.000,-155.000,-154.000,-153.000,-152.000,-150.000,-146.000,-141.000,-135.000,-121.000,-95.000,52
-0.306707,-157.000,-155.000,-153.000,-152.000,-151.000,-149.000,-146.000,-142.000,-135.000,-122.000,-97.000,52
-0.269077,-156.000,-154.000,-153.000,-152.000,-150.000,-148.000,-146.000,-142.000,-136.000,-122.000,-97.000,52
-0.231448,-155.000,-152.000,-151.000,-150.000,-149.000,-146.000,-144.000,-142.000,-136.000,-122.000,-97.000,52
-0.193820,-153.000,-151.000,-149.000,-149.000,-147.000,-144.000,-142.000,-140.000,-136.000,-122.000,-97.000,52
-0.156191,-152.000,-149.000,-148.000,-147.000,-145.000,-143.000,-140.000,-139.000,-136.000,-122.000,-97.000,52
-0.118562,-150.000,-147.000,-146.000,-145.000,-143.000,-140.000,-138.000,-136.000,-134.000,-123.000,-97.000,52
-0.080934,-148.000,-145.000,-144.000,-143.000,-141.000,-138.000,-136.000,-134.000,-133.000,-123.000,-97.000,52
-0.043305,-146.000,-143.000,-142.000,-141.000,-139.000,-137.000,-134.000,-132.000,-131.000,-122.000,-96.000,52
-0.005676,-144.000,-142.000,-140.000,-139.000,-137.000,-135.000,-132.000,-130.000,-129.000,-122.000,-96.000,52
0.031952,-143.000,-140.000,-138.000,-137.000,-135.000,-133.000,-131.000,-128.000,-127.000,-122.000,-96.000,52
0.069581,-141.000,-138.000,-137.000,-135.000,-134.000,-131.000,-129.000,-127.000,-125.000,-122.000,-97.000,52
0.107210,-140.000,-137.000,-135.000,-134.000,-132.000,-130.000,-127.000,-125.000,-123.000,-120.000,-97.000,52
