period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-148.000,-147.000,-145.000,-144.000,-142.000,-138.000,-134.000,-128.000,-124.000,-50.000,-50.000,47
-1.661344,-148.000,-146.000,-145.000,-144.000,-142.000,-138.000,-134.000,-127.000,-123.000,-50.000,-50.000,47
-1.623715,-148.000,-146.000,-145.000,-144.000,-142.000,-138.000,-134.000,-127.000,-123.000,-50.000,-50.000,47
-1.586080,-148.000,-146.000,-145.000,-144.000,-141.000,-137.000,-134.000,-127.000,-123.000,-50.000,-50.000,47
-1.548459,-148.000,-146.000,-145.000,-144.000,-141.000,-137.000,-134.000,-127.000,-123.000,-50.000,-50.000,47
-1.510829,-147.000,-145.000,-144.000,-143.000,-141.000,-136.000,-133.000,-127.000,-123.000,-50.000,-50.000,47
-1.473196,-147.000,-145.000,-143.000,-142.000,-140.000,-135.000,-132.000,-126.000,-123.000,-50.000,-50.000,47
-1.435571,-147.000,-145.000,-144.000,-142.000,-140.000,-135.000,-131.000,-127.000,-123.000,-50.000,-50.000,47
-1.397940,-148.000,-145.000,-144.000,-143.000,-140.000,-135.000,-131.000,-127.000,-124.000,-50.000,-50.000,47
-1.360314,-148.000,-145.000,-144.000,-143.000,-140.000,-134.000,-131.000,-127.000,-124.000,-50.000,-50.000,47
-1.322685,-148.000,-146.000,-144.000,-143.000,-140.000,-134.000,-131.000,-127.000,-124.000,-50.000,-50.000,47
-1.285050,-149.000,-146.000,-144.000,-143.000,-140.000,-134.000,-130.000,-127.000,-124.000,-50.000,-50.000,47
-1.247421,-149.000,-146.000,-144.000,-142.000,-139.000,-133.000,-129.000,-125.000,-123.000,-50.000,-50.000,47
-1.209799,-150.000,-146.000,-144.000,-142.000,-138.000,-132.000,-128.000,-124.000,-122.000,-50.000,-50.000,47
-1.172166,-150.000,-146.000,-143.000,-141.000,-137.000,-131.000,-127.000,-124.000,-122.000,-50.000,-50.000,47
-1.134541,-151.000,-147.000,-143.000,-141.000,-137.000,-130.000,-126.000,-123.000,-121.000,-50.000,-50.000,47
-1.096910,-152.000,-147.000,-144.000,-141.000,-137.000,-130.000,-126.000,-123.000,-121.000,-50.000,-50.000,47
-1.059279,-154.000,-148.000,-144.000,-141.000,-137.000,-130.000,-126.000,-123.000,-121.000,-50.000,-50.000,47
-1.021651,-155.000,-149.000,-144.000,-141.000,-137.000,-130.000,-126.000,-123.000,-121.000,-50.000,-50.000,47
-0.984024,-156.000,-150.000,-145.000,-142.000,-138.000,-130.000,-126.000,-123.000,-121.000,-50.000,-50.000,47
-0.946395,-156.000,-150.000,-145.000,-142.000,-138.000,-131.000,-127.000,-124.000,-122.000,-50.000,-50.000,47
-0.908766,-156.000,-151.000,-146.000,-144.000,-140.000,-132.000,-128.000,-125.000,-124.000,-50.000,-50.000,47
-0.871139,-157.000,-152.000,-148.000,-146.000,-142.000,-135.000,-131.000,-128.000,-126.000,-50.000,-50.000,47
-0.833508,-157.000,-154.000,-150.000,-148.000,-145.000,-138.000,-134.000,-131.000,-128.000,-50.000,-50.000,47
