period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-142.000,-139.000,-137.000,-136.000,-135.000,-132.000,-129.000,-125.000,-123.000,-119.000,-107.000,52
-1.661344,-142.000,-139.000,-137.000,-136.000,-135.000,-132.000,-129.000,-125.000,-123.000,-119.000,-105.000,52
-1.623715,-142.000,-139.000,-137.000,-136.000,-135.000,-132.000,-128.000,-125.000,-123.000,-119.000,-105.000,52
-1.586080,-141.000,-139.000,-137.000,-136.000,-135.000,-132.000,-128.000,-125.000,-123.000,-119.000,-105.000,52
-1.548459,-141.000,-139.000,-137.000,-136.000,-135.000,-132.000,-129.000,-125.000,-123.000,-119.000,-106.000,52
-1.510829,-141.000,-138.000,-136.000,-135.000,-134.000,-131.000,-128.000,-124.000,-122.000,-119.000,-105.000,52
-1.473196,-140.000,-138.000,-136.000,-135.000,-133.000,-130.000,-127.000,-124.000,-122.000,-118.000,-106.000,52
-1.435571,-141.000,-139.000,-137.000,-136.000,-134.000,-131.000,-128.000,-125.000,-122.000,-119.000,-107.000,52
-1.397940,-141.000,-139.000,-137.000,-136.000,-134.000,-131.000,-128.000,-125.000,-123.000,-119.000,-106.000,52
-1.360314,-141.000,-139.000,-137.000,-136.000,-134.000,-131.000,-128.000,-125.000,-123.000,-119.000,-108.000,52
-1.322685,-142.000,-139.000,-137.000,-136.000,-134.000,-131.000,-128.000,-125.000,-122.000,-118.000,-106.000,52
-1.285050,-141.000,-139.000,-137.000,-136.000,-134.000,-130.000,-127.000,-124.000,-122.000,-118.000,-105.000,52
-1.247421,-141.000,-139.000,-137.000,-136.000,-134.000,-130.000,-127.000,-124.000,-122.000,-118.000,-102.000,52
-1.209799,-142.000,-140.000,-138.000,-137.000,-134.000,-130.000,-127.000,-124.000,-122.000,-118.000,-99.000,52
-1.172166,-142.000,-140.000,-138.000,-137.000,-134.000,-130.000,-126.000,-123.000,-122.000,-117.000,-98.000,52
-1.134541,-142.000,-140.000,-138.000,-137.000,-134.000,-129.000,-126.000,-123.000,-121.000,-117.000,-97.000,52
-1.096910,-142.000,-140.000,-138.000,-136.000,-134.000,-129.000,-126.000,-123.000,-121.000,-117.000,-95.000,52
-1.059279,-142.000,-140.000,-138.000,-136.000,-133.000,-129.000,-125.000,-123.000,-121.000,-117.000,-92.000,52
-1.021651,-142.000,-140.000,-138.000,-136.000,-133.000,-128.000,-125.000,-123.000,-121.000,-117.000,-91.000,52
-0.984024,-142.000,-140.000,-138.000,-136.000,-133.000,-128.000,-125.000,-123.000,-122.000,-117.000,-90.000,52
-0.946395,-142.000,-140.000,-138.000,-136.000,-133.000,-128.000,-125.000,-123.000,-122.000,-118.000,-90.000,52
-0.908766,-142.000,-140.000,-138.000,-136.000,-133.000,-129.000,-126.000,-124.000,-122.000,-118.000,-88.000,52
-0.871139,-143.000,-140.000,-138.000,-137.000,-134.000,-129.000,-126.000,-124.000,-123.000,-118.000,-88.000,52
-0.833508,-143.000,-140.000,-139.000,-137.000,-134.000,-130.000,-127.000,-125.000,-124.000,-119.000,-88.000,52
-0.795880,-144.000,-141.000,-139.000,-138.000,-135.000,-130.000,-128.000,-126.000,-124.000,-119.000,-87.000,52
-0.758252,-144.000,-142.000,-140.000,-139.000,-136.000,-131.000,-129.000,-127.000,-125.000,-119.000,-89.000,52
-0.720623,-145.000,-143.000,-141.000,-140.000,-137.000,-132.000,-130.000,-128.000,-126.000,-120.000,-89.000,52
-0.682994,-146.000,-143.000,-142.000,-140.000,-138.000,-133.000,-130.000,-129.000,-127.000,-120.000,-86.000,52
-0.645365,-146.000,-144.000,-142.000,-141.000,-138.000,-134.000,-131.000,-129.000,-128.000,-120.000,-85.000,52
-0.607736,-146.000,-144.000,-142.000,-140.000,-138.000,-134.000,-131.000,-129.000,-128.000,-121.000,-85.000,52
-0.570107,-145.000,-143.000,-141.000,-140.000,-138.000,-134.000,-132.000,-130.000,-128.000,-120.000,-84.000,52
-0.532479,-145.000,-142.000,-141.000,-140.000,-138.000,-134.000,-132.000,-130.000,-128.000,-120.000,-84.000,52
-0.494850,-144.000,-142.000,-140.000,-139.000,-137.000,-134.000,-132.000,-130.000,-128.000,-120.000,-83.000,52
-0.457222,-144.000,-141.000,-139.000,-138.000,-137.000,-134.000,-132.000,-130.000,-128.000,-119.000,-82.000,52
-0.419593,-144.000,-141.000,-139.000,-138.000,-136.000,-133.000,-131.000,-129.000,-127.000,-119.000,-82.000,52
-0.381963,-144.000,-140.000,-139.000,-137.000,-135.000,-132.000,-130.000,-128.000,-127.000,-119.000,-84.000,52
-0.344335,-143.000,-140.000,-138.000,-137.000,-135.000,-132.000,-129.000,-127.000,-126.000,-120.000,-84.000,52
-0.306707,-142.000,-139.000,-138.000,-136.000,-135.000,-131.000,-128.000,-126.000,-125.000,-120.000,-84.000,52
-0.269077,-142.000,-139.000,-137.000,-136.000,-134.000,-130.000,-128.000,-126.000,-124.000,-119.000,-85.000,52
-0.231448,-141.000,-138.000,-137.000,-135.000,-134.000,-130.000,-127.000,-125.000,-124.000,-119.000,-85.000,52
-0.193820,-141.000,-138.000,-136.000,-135.000,-133.000,-130.000,-127.000,-125.000,-123.000,-119.000,-85.000,52
-0.156191,-140.000,-137.000,-135.000,-134.000,-133.000,-129.000,-126.000,-124.000,-123.000,-119.000,-88.000,52
-0.118562,-139.000,-136.000,-135.000,-134.000,-132.000,-129.000,-126.000,-124.000,-123.000,-119.000,-88.000,52
-0.080934,-138.000,-135.000,-134.000,-133.000,-131.000,-128.000,-125.000,-123.000,-122.000,-119.000,-87.000,52
-0.043305,-137.000,-133.000,-132.000,-131.000,-129.000,-126.000,-124.000,-122.000,-121.000,-117.000,-87.000,52
-0.005676,-135.000,-131.000,-130.000,-129.000,-127.000,-125.000,-122.000,-120.000,-119.000,-116.000,-87.000,52
0.031952,-134.000,-130.000,-129.000,-127.000,-126.000,-123.000,-121.000,-119.000,-117.000,-114.000,-86.000,52
