period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-143.000,-142.000,-141.000,-140.000,-139.000,-136.000,-133.000,-123.000,-50.000,-50.000,-50.000,44
-1.661344,-144.000,-142.000,-141.000,-140.000,-139.000,-137.000,-133.000,-123.000,-50.000,-50.000,-50.000,44
-1.623715,-143.000,-142.000,-141.000,-140.000,-139.000,-137.000,-133.000,-124.000,-50.000,-50.000,-50.000,44
-1.586080,-144.000,-142.000,-141.000,-141.000,-139.000,-137.000,-134.000,-124.000,-50.000,-50.000,-50.000,44
-1.548459,-144.000,-142.000,-142.000,-141.000,-140.000,-137.000,-134.000,-124.000,-50.000,-50.000,-50.000,44
-1.510829,-144.000,-142.000,-141.000,-140.000,-139.000,-137.000,-134.000,-124.000,-50.000,-50.000,-50.000,44
-1.473196,-144.000,-143.000,-142.000,-141.000,-140.000,-138.000,-134.000,-124.000,-50.000,-50.000,-50.000,44
-1.435571,-146.000,-145.000,-144.000,-143.000,-142.000,-139.000,-136.000,-127.000,-50.000,-50.000,-50.000,44
-1.397940,-147.000,-146.000,-145.000,-144.000,-143.000,-140.000,-137.000,-127.000,-50.000,-50.000,-50.000,44
-1.360314,-148.000,-146.000,-145.000,-145.000,-143.000,-140.000,-136.000,-128.000,-50.000,-50.000,-50.000,44
-1.322685,-149.000,-148.000,-146.000,-145.000,-144.000,-140.000,-136.000,-128.000,-50.000,-50.000,-50.000,44
-1.285050,-150.000,-148.000,-147.000,-146.000,-144.000,-139.000,-135.000,-127.000,-50.000,-50.000,-50.000,44
-1.247421,-150.000,-149.000,-147.000,-146.000,-144.000,-139.000,-134.000,-127.000,-50.000,-50.000,-50.000,44
-1.209799,-151.000,-149.000,-147.000,-146.000,-143.000,-138.000,-133.000,-126.000,-50.000,-50.000,-50.000,44
-1.172166,-151.000,-149.000,-147.000,-146.000,-143.000,-137.000,-133.000,-125.000,-50.000,-50.000,-50.000,44
-1.134541,-151.000,-149.000,-148.000,-146.000,-143.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
-1.096910,-152.000,-151.000,-149.000,-147.000,-144.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
-1.059279,-154.000,-153.000,-151.000,-149.000,-144.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
-1.021651,-156.000,-154.000,-152.000,-150.000,-145.000,-138.000,-133.000,-124.000,-50.000,-50.000,-50.000,44
-0.984024,-156.000,-155.000,-153.000,-151.000,-146.000,-138.000,-133.000,-125.000,-50.000,-50.000,-50.000,44
-0.946395,-157.000,-155.000,-153.000,-151.000,-147.000,-139.000,-134.000,-125.000,-50.000,-50.000,-50.000,44
-0.908766,-156.000,-154.000,-152.000,-150.000,-147.000,-140.000,-135.000,-126.000,-50.000,-50.000,-50.000,44
-0.871139,-156.000,-154.000,-152.000,-151.000,-147.000,-141.000,-137.000,-128.000,-50.000,-50.000,-50.000,44
-0.833508,-156.000,-154.000,-152.000,-151.000,-148.000,-142.000,-138.000,-128.000,-50.000,-50.000,-50.000,44
-0.795880,-156.000,-154.000,-152.000,-151.000,-148.000,-143.000,-139.000,-129.000,-50.000,-50.000,-50.000,44
-0.758252,-156.000,-154.000,-152.000,-151.000,-148.000,-144.000,-140.000,-129.000,-50.000,-50.000,-50.000,44
-0.720623,-156.000,-153.000,-152.000,-151.000,-148.000,-145.000,-140.000,-129.000,-50.000,-50.000,-50.000,44
-0.682994,-156.000,-153.000,-152.000,-151.000,-148.000,-145.000,-140.000,-129.000,-50.000,-50.000,-50.000,44
-0.645365,-155.000,-153.000,-152.000,-150.000,-148.000,-145.000,-140.000,-128.000,-50.000,-50.000,-50.000,44
-0.607736,-157.000,-155.000,-153.000,-152.000,-150.000,-146.000,-141.000,-128.000,-50.000,-50.000,-50.000,44
-0.570107,-157.000,-154.000,-153.000,-151.000,-149.000,-146.000,-141.000,-127.000,-50.000,-50.000,-50.000,44
-0.532479,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-141.000,-128.000,-50.000,-50.000,-50.000,44
