period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-144.000,-136.000,-50.000,-50.000,-50.000,44
-1.661344,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-144.000,-136.000,-50.000,-50.000,-50.000,44
-1.623715,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-144.000,-136.000,-50.000,-50.000,-50.000,44
-1.586080,-149.000,-148.000,-148.000,-148.000,-147.000,-146.000,-144.000,-135.000,-50.000,-50.000,-50.000,44
-1.548459,-149.000,-149.000,-148.000,-148.000,-147.000,-146.000,-143.000,-135.000,-50.000,-50.000,-50.000,44
-1.510829,-148.000,-148.000,-147.000,-147.000,-146.000,-145.000,-142.000,-134.000,-50.000,-50.000,-50.000,44
-1.473196,-148.000,-148.000,-147.000,-147.000,-146.000,-144.000,-141.000,-133.000,-50.000,-50.000,-50.000,44
-1.435571,-149.000,-148.000,-148.000,-147.000,-146.000,-144.000,-141.000,-132.000,-50.000,-50.000,-50.000,44
-1.397940,-150.000,-149.000,-148.000,-147.000,-146.000,-144.000,-140.000,-132.000,-50.000,-50.000,-50.000,44
-1.360314,-150.000,-149.000,-148.000,-147.000,-146.000,-143.000,-140.000,-131.000,-50.000,-50.000,-50.000,44
-1.322685,-151.000,-149.000,-148.000,-147.000,-146.000,-143.000,-139.000,-131.000,-50.000,-50.000,-50.000,44
-1.285050,-151.000,-149.000,-148.000,-147.000,-145.000,-142.000,-137.000,-130.000,-50.000,-50.000,-50.000,44
-1.247421,-151.000,-149.000,-148.000,-147.000,-145.000,-140.000,-136.000,-128.000,-50.000,-50.000,-50.000,44
-1.209799,-152.000,-150.000,-149.000,-147.000,-145.000,-139.000,-134.000,-127.000,-50.000,-50.000,-50.000,44
-1.172166,-153.000,-151.000,-150.000,-148.000,-145.000,-138.000,-133.000,-125.000,-50.000,-50.000,-50.000,44
-1.134541,-154.000,-152.000,-151.000,-149.000,-145.000,-138.000,-133.000,-125.000,-50.000,-50.000,-50.000,44
-1.096910,-155.000,-153.000,-152.000,-150.000,-145.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
-1.059279,-156.000,-154.000,-153.000,-151.000,-145.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
-1.021651,-156.000,-155.000,-153.000,-151.000,-145.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
-0.984024,-156.000,-155.000,-153.000,-151.000,-146.000,-137.000,-132.000,-124.000,-50.000,-50.000,-50.000,44
