period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-156.000,-154.000,-152.000,-152.000,-150.000,-148.000,-143.000,-137.000,-133.000,-128.000,-104.000,52
-1.661344,-156.000,-153.000,-152.000,-151.000,-150.000,-147.000,-143.000,-137.000,-133.000,-128.000,-104.000,52
-1.623715,-155.000,-153.000,-152.000,-151.000,-150.000,-147.000,-142.000,-137.000,-133.000,-127.000,-104.000,52
-1.586080,-155.000,-153.000,-151.000,-150.000,-149.000,-147.000,-142.000,-137.000,-133.000,-127.000,-104.000,52
-1.548459,-155.000,-152.000,-151.000,-150.000,-149.000,-146.000,-142.000,-136.000,-133.000,-127.000,-103.000,52
-1.510829,-154.000,-152.000,-150.000,-149.000,-148.000,-145.000,-141.000,-136.000,-132.000,-127.000,-103.000,52
-1.473196,-153.000,-151.000,-150.000,-149.000,-147.000,-145.000,-141.000,-135.000,-132.000,-126.000,-102.000,52
-1.435571,-153.000,-151.000,-149.000,-148.000,-147.000,-144.000,-141.000,-135.000,-132.000,-126.000,-103.000,52
-1.397940,-152.000,-150.000,-149.000,-148.000,-146.000,-143.000,-140.000,-135.000,-132.000,-126.000,-103.000,52
-1.360314,-152.000,-149.000,-148.000,-147.000,-145.000,-143.000,-139.000,-135.000,-132.000,-126.000,-103.000,52
-1.322685,-151.000,-149.000,-148.000,-146.000,-145.000,-142.000,-139.000,-135.000,-132.000,-126.000,-104.000,52
-1.285050,-151.000,-149.000,-147.000,-146.000,-145.000,-142.000,-139.000,-135.000,-131.000,-125.000,-104.000,52
-1.247421,-151.000,-149.000,-147.000,-146.000,-144.000,-141.000,-138.000,-135.000,-131.000,-125.000,-105.000,52
-1.209799,-151.000,-148.000,-147.000,-146.000,-144.000,-141.000,-138.000,-135.000,-131.000,-125.000,-105.000,52
-1.172166,-151.000,-148.000,-147.000,-146.000,-144.000,-141.000,-138.000,-134.000,-131.000,-125.000,-106.000,52
-1.134541,-151.000,-149.000,-147.000,-146.000,-144.000,-141.000,-138.000,-135.000,-131.000,-125.000,-106.000,52
-1.096910,-152.000,-149.000,-148.000,-146.000,-145.000,-141.000,-138.000,-135.000,-132.000,-125.000,-107.000,52
-1.059279,-152.000,-150.000,-148.000,-147.000,-145.000,-142.000,-139.000,-135.000,-132.000,-125.000,-108.000,52
-1.021651,-153.000,-151.000,-149.000,-148.000,-146.000,-143.000,-140.000,-136.000,-133.000,-125.000,-105.000,52
-0.984024,-154.000,-152.000,-150.000,-149.000,-147.000,-144.000,-140.000,-136.000,-133.000,-125.000,-104.000,52
-0.946395,-155.000,-152.000,-151.000,-149.000,-147.000,-144.000,-141.000,-137.000,-134.000,-125.000,-102.000,52
-0.908766,-155.000,-153.000,-151.000,-150.000,-148.000,-145.000,-141.000,-137.000,-134.000,-125.000,-100.000,52
-0.871139,-155.000,-153.000,-151.000,-150.000,-148.000,-145.000,-142.000,-138.000,-135.000,-125.000,-99.000,52
-0.833508,-156.000,-153.000,-152.000,-150.000,-149.000,-146.000,-142.000,-138.000,-135.000,-125.000,-98.000,52
-0.795880,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-143.000,-139.000,-136.000,-126.000,-97.000,52
-0.758252,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-143.000,-139.000,-136.000,-126.000,-96.000,52
-0.720623,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-143.000,-139.000,-137.000,-127.000,-95.000,52
-0.682994,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-143.000,-139.000,-136.000,-127.000,-95.000,52
-0.645365,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-142.000,-139.000,-136.000,-128.000,-95.000,52
-0.607736,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-142.000,-138.000,-135.000,-128.000,-95.000,52
-0.570107,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-142.000,-138.000,-135.000,-128.000,-95.000,52
-0.532479,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-142.000,-138.000,-135.000,-128.000,-92.000,52
-0.494850,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-128.000,-91.000,52
-0.457222,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-134.000,-127.000,-89.000,52
-0.419593,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-127.000,-88.000,52
-0.381963,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-127.000,-88.000,52
-0.344335,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-143.000,-139.000,-136.000,-128.000,-86.000,52
-0.306707,-156.000,-154.000,-152.000,-151.000,-150.000,-147.000,-144.000,-140.000,-137.000,-128.000,-85.000,52
-0.269077,-156.000,-154.000,-153.000,-152.000,-150.000,-148.000,-145.000,-141.000,-138.000,-128.000,-83.000,52
-0.231448,-157.000,-155.000,-154.000,-153.000,-151.000,-148.000,-145.000,-142.000,-139.000,-128.000,-83.000,52
-0.193820,-157.000,-155.000,-154.000,-153.000,-151.000,-149.000,-146.000,-142.000,-139.000,-128.000,-82.000,52
-0.156191,-157.000,-156.000,-154.000,-153.000,-152.000,-149.000,-147.000,-143.000,-140.000,-130.000,-83.000,52
-0.118562,-158.000,-156.000,-155.000,-154.000,-153.000,-150.000,-148.000,-144.000,-141.000,-130.000,-83.000,52
-0.080934,-157.000,-156.000,-155.000,-154.000,-153.000,-151.000,-148.000,-144.000,-141.000,-130.000,-82.000,52
-0.043305,-157.000,-156.000,-155.000,-155.000,-154.000,-152.000,-149.000,-144.000,-141.000,-130.000,-83.000,52
-0.005676,-157.000,-155.000,-155.000,-154.000,-154.000,-152.000,-149.000,-145.000,-141.000,-130.000,-83.000,52
0.031952,-156.000,-155.000,-154.000,-154.000,-153.000,-152.000,-149.000,-144.000,-141.000,-131.000,-86.000,52
0.069581,-155.000,-154.000,-153.000,-153.000,-152.000,-151.000,-148.000,-144.000,-141.000,-131.000,-88.000,52
0.107210,-154.000,-153.000,-152.000,-152.000,-151.000,-149.000,-147.000,-144.000,-140.000,-131.000,-89.000,52
0.144839,-153.000,-152.000,-151.000,-150.000,-149.000,-148.000,-146.000,-143.000,-140.000,-130.000,-89.000,52
0.182467,-151.000,-150.000,-149.000,-149.000,-148.000,-146.000,-144.000,-142.000,-139.000,-130.000,-90.000,52
0.220096,-150.000,-149.000,-148.000,-147.000,-147.000,-145.000,-143.000,-140.000,-138.000,-130.000,-91.000,52
0.257725,-149.000,-147.000,-147.000,-146.000,-145.000,-144.000,-141.000,-139.000,-137.000,-130.000,-92.000,52
0.295354,-147.000,-146.000,-145.000,-145.000,-144.000,-142.000,-140.000,-138.000,-136.000,-130.000,-93.000,52
0.332983,-146.000,-144.000,-144.000,-143.000,-142.000,-141.000,-139.000,-136.000,-135.000,-130.000,-94.000,52
0.370611,-144.000,-143.000,-142.000,-142.000,-141.000,-140.000,-137.000,-135.000,-134.000,-129.000,-94.000,52
0.408240,-143.000,-141.000,-141.000,-140.000,-140.000,-138.000,-136.000,-134.000,-132.000,-129.000,-95.000,52
0.445869,-141.000,-140.000,-139.000,-139.000,-138.000,-136.000,-134.000,-132.000,-131.000,-128.000,-97.000,52
0.483497,-140.000,-139.000,-138.000,-137.000,-137.000,-135.000,-133.000,-131.000,-130.000,-127.000,-98.000,52
0.521126,-138.000,-137.000,-137.000,-136.000,-135.000,-133.000,-131.000,-129.000,-128.000,-125.000,-99.000,52
0.558755,-138.000,-136.000,-136.000,-135.000,-134.000,-132.000,-130.000,-128.000,-126.000,-122.000,-100.000,52
0.596384,-137.000,-136.000,-135.000,-135.000,-133.000,-131.000,-128.000,-126.000,-124.000,-119.000,-101.000,52
0.634012,-137.000,-136.000,-135.000,-134.000,-133.000,-129.000,-127.000,-124.000,-123.000,-117.000,-101.000,52
0.671641,-137.000,-136.000,-135.000,-134.000,-132.000,-128.000,-125.000,-122.000,-121.000,-117.000,-100.000,52
0.709270,-137.000,-136.000,-134.000,-134.000,-132.000,-128.000,-124.000,-121.000,-120.000,-115.000,-98.000,52
0.746899,-137.000,-136.000,-135.000,-134.000,-132.000,-127.000,-123.000,-121.000,-119.000,-115.000,-97.000,52
0.784527,-138.000,-137.000,-135.000,-134.000,-132.000,-127.000,-123.000,-120.000,-119.000,-114.000,-96.000,52
0.822156,-140.000,-138.000,-137.000,-135.000,-133.000,-127.000,-123.000,-120.000,-119.000,-114.000,-96.000,52
