period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-144.000,-143.000,-142.000,-141.000,-140.000,-136.000,-130.000,-126.000,-123.000,-50.000,-50.000,51
-1.661344,-144.000,-142.000,-141.000,-141.000,-140.000,-135.000,-130.000,-126.000,-120.000,-50.000,-50.000,51
-1.623715,-143.000,-142.000,-141.000,-141.000,-139.000,-135.000,-129.000,-127.000,-119.000,-50.000,-50.000,51
-1.586080,-143.000,-142.000,-141.000,-140.000,-139.000,-135.000,-128.000,-127.000,-118.000,-50.000,-50.000,51
-1.548459,-143.000,-142.000,-141.000,-140.000,-139.000,-135.000,-128.000,-127.000,-117.000,-50.000,-50.000,51
-1.510829,-142.000,-141.000,-140.000,-140.000,-138.000,-133.000,-127.000,-122.000,-116.000,-50.000,-50.000,51
-1.473196,-142.000,-141.000,-140.000,-139.000,-138.000,-132.000,-127.000,-121.000,-115.000,-50.000,-50.000,51
-1.435571,-142.000,-141.000,-140.000,-140.000,-138.000,-133.000,-128.000,-121.000,-114.000,-50.000,-50.000,51
-1.397940,-143.000,-142.000,-141.000,-140.000,-139.000,-133.000,-129.000,-121.000,-113.000,-50.000,-50.000,51
-1.360314,-144.000,-142.000,-141.000,-141.000,-139.000,-133.000,-130.000,-120.000,-113.000,-50.000,-50.000,51
-1.322685,-144.000,-143.000,-142.000,-141.000,-140.000,-134.000,-130.000,-120.000,-113.000,-50.000,-50.000,51
-1.285050,-145.000,-144.000,-143.000,-142.000,-141.000,-134.000,-130.000,-120.000,-112.000,-50.000,-50.000,51
-1.247421,-146.000,-145.000,-144.000,-143.000,-141.000,-135.000,-130.000,-120.000,-112.000,-50.000,-50.000,51
-1.209799,-147.000,-146.000,-145.000,-144.000,-142.000,-138.000,-135.000,-128.000,-112.000,-50.000,-50.000,51
-1.172166,-148.000,-146.000,-145.000,-145.000,-143.000,-139.000,-137.000,-128.000,-112.000,-50.000,-50.000,51
-1.134541,-149.000,-147.000,-146.000,-145.000,-144.000,-140.000,-137.000,-128.000,-112.000,-50.000,-50.000,51
-1.096910,-149.000,-148.000,-147.000,-146.000,-144.000,-141.000,-138.000,-128.000,-113.000,-50.000,-50.000,51
-1.059279,-150.000,-148.000,-147.000,-147.000,-145.000,-141.000,-139.000,-129.000,-113.000,-50.000,-50.000,51
-1.021651,-151.000,-149.000,-148.000,-147.000,-146.000,-142.000,-140.000,-129.000,-114.000,-50.000,-50.000,51
-0.984024,-152.000,-150.000,-149.000,-148.000,-147.000,-143.000,-141.000,-130.000,-114.000,-50.000,-50.000,51
-0.946395,-152.000,-151.000,-150.000,-149.000,-147.000,-144.000,-142.000,-131.000,-114.000,-50.000,-50.000,51
-0.908766,-153.000,-151.000,-150.000,-150.000,-148.000,-145.000,-142.000,-132.000,-115.000,-50.000,-50.000,51
-0.871139,-154.000,-152.000,-151.000,-150.000,-149.000,-146.000,-143.000,-132.000,-115.000,-50.000,-50.000,51
-0.833508,-154.000,-152.000,-151.000,-151.000,-149.000,-146.000,-143.000,-133.000,-116.000,-50.000,-50.000,51
-0.795880,-155.000,-153.000,-152.000,-152.000,-150.000,-147.000,-144.000,-134.000,-116.000,-50.000,-50.000,51
-0.758252,-156.000,-154.000,-153.000,-152.000,-151.000,-147.000,-139.000,-134.000,-117.000,-50.000,-50.000,51
-0.720623,-156.000,-154.000,-153.000,-153.000,-151.000,-147.000,-139.000,-134.000,-117.000,-50.000,-50.000,51
-0.682994,-156.000,-155.000,-154.000,-153.000,-152.000,-148.000,-139.000,-135.000,-118.000,-50.000,-50.000,51
-0.645365,-157.000,-155.000,-154.000,-153.000,-152.000,-148.000,-139.000,-135.000,-118.000,-50.000,-50.000,51
-0.607736,-157.000,-155.000,-154.000,-153.000,-152.000,-149.000,-139.000,-135.000,-119.000,-50.000,-50.000,51
-0.570107,-157.000,-155.000,-154.000,-153.000,-152.000,-149.000,-139.000,-135.000,-119.000,-50.000,-50.000,51
-0.532479,-157.000,-155.000,-154.000,-153.000,-152.000,-150.000,-139.000,-135.000,-120.000,-50.000,-50.000,51
-0.494850,-156.000,-155.000,-154.000,-153.000,-152.000,-150.000,-139.000,-135.000,-121.000,-50.000,-50.000,51
-0.457222,-156.000,-154.000,-153.000,-153.000,-151.000,-150.000,-144.000,-139.000,-122.000,-50.000,-50.000,51
-0.419593,-156.000,-154.000,-153.000,-152.000,-151.000,-149.000,-144.000,-139.000,-122.000,-50.000,-50.000,51
-0.381963,-155.000,-153.000,-152.000,-151.000,-151.000,-149.000,-144.000,-140.000,-123.000,-50.000,-50.000,51
-0.344335,-154.000,-152.000,-151.000,-151.000,-151.000,-148.000,-144.000,-140.000,-124.000,-50.000,-50.000,51
-0.306707,-154.000,-153.000,-153.000,-153.000,-150.000,-147.000,-144.000,-140.000,-124.000,-50.000,-50.000,51
