period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-130.000,-130.000,-130.000,-130.000,-130.000,-130.000,-127.000,-124.000,-69.000,-63.000,-63.000,5
-1.661344,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-128.000,-125.000,-69.000,-64.000,-64.000,5
-1.623715,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-128.000,-125.000,-70.000,-64.000,-64.000,5
-1.586080,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-128.000,-126.000,-70.000,-64.000,-64.000,5
-1.548459,-132.000,-132.000,-132.000,-131.000,-131.000,-131.000,-128.000,-126.000,-70.000,-64.000,-64.000,5
-1.510829,-133.000,-133.000,-133.000,-133.000,-133.000,-133.000,-132.000,-130.000,-70.000,-65.000,-65.000,5
-1.473196,-134.000,-134.000,-134.000,-134.000,-134.000,-133.000,-133.000,-131.000,-71.000,-66.000,-66.000,5
-1.435571,-135.000,-135.000,-135.000,-134.000,-134.000,-134.000,-134.000,-131.000,-71.000,-65.000,-65.000,5
-1.397940,-136.000,-135.000,-135.000,-135.000,-135.000,-135.000,-134.000,-132.000,-70.000,-64.000,-64.000,5
-1.360314,-136.000,-136.000,-136.000,-136.000,-136.000,-136.000,-135.000,-132.000,-69.000,-64.000,-64.000,5
-1.322685,-137.000,-137.000,-137.000,-137.000,-137.000,-136.000,-136.000,-132.000,-69.000,-63.000,-63.000,5
-1.285050,-138.000,-138.000,-138.000,-138.000,-137.000,-137.000,-136.000,-133.000,-69.000,-63.000,-63.000,5
-1.247421,-139.000,-138.000,-138.000,-138.000,-138.000,-138.000,-137.000,-133.000,-69.000,-63.000,-63.000,5
-1.209799,-139.000,-139.000,-139.000,-139.000,-139.000,-138.000,-137.000,-133.000,-69.000,-63.000,-63.000,5
-1.172166,-140.000,-140.000,-140.000,-139.000,-139.000,-139.000,-138.000,-134.000,-70.000,-64.000,-64.000,5
-1.134541,-141.000,-140.000,-140.000,-140.000,-140.000,-140.000,-139.000,-134.000,-70.000,-64.000,-64.000,5
-1.096910,-141.000,-141.000,-141.000,-141.000,-140.000,-140.000,-139.000,-134.000,-70.000,-65.000,-65.000,5
-1.059279,-142.000,-142.000,-141.000,-141.000,-141.000,-141.000,-139.000,-134.000,-71.000,-65.000,-65.000,5
-1.021651,-142.000,-142.000,-142.000,-142.000,-141.000,-141.000,-140.000,-134.000,-72.000,-66.000,-66.000,5
-0.984024,-143.000,-143.000,-142.000,-142.000,-142.000,-142.000,-140.000,-135.000,-72.000,-66.000,-66.000,5
-0.946395,-144.000,-143.000,-143.000,-143.000,-142.000,-142.000,-140.000,-135.000,-73.000,-67.000,-67.000,5
-0.908766,-144.000,-144.000,-143.000,-143.000,-143.000,-142.000,-141.000,-135.000,-73.000,-68.000,-68.000,5
-0.871139,-145.000,-144.000,-144.000,-144.000,-143.000,-143.000,-141.000,-135.000,-74.000,-68.000,-68.000,5
-0.833508,-145.000,-145.000,-144.000,-144.000,-144.000,-143.000,-142.000,-135.000,-75.000,-69.000,-69.000,5
-0.795880,-146.000,-145.000,-145.000,-144.000,-144.000,-144.000,-142.000,-135.000,-76.000,-70.000,-70.000,5
-0.758252,-147.000,-146.000,-145.000,-145.000,-144.000,-144.000,-142.000,-134.000,-76.000,-70.000,-70.000,5
-0.720623,-147.000,-146.000,-146.000,-145.000,-145.000,-144.000,-142.000,-134.000,-77.000,-71.000,-71.000,5
-0.682994,-148.000,-147.000,-146.000,-146.000,-145.000,-144.000,-142.000,-134.000,-78.000,-72.000,-72.000,5
