period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100,total_files
-1.698970,-131.000,-131.000,-131.000,-131.000,-131.000,-130.000,-130.000,-130.000,-130.000,-129.000,-50.000,50
-1.661344,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-130.000,-50.000,50
-1.623715,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-131.000,-130.000,-50.000,50
-1.586080,-132.000,-132.000,-132.000,-132.000,-132.000,-131.000,-131.000,-131.000,-131.000,-130.000,-51.000,50
-1.548459,-132.000,-132.000,-132.000,-132.000,-132.000,-132.000,-132.000,-132.000,-131.000,-131.000,-51.000,50
-1.510829,-133.000,-133.000,-133.000,-133.000,-133.000,-133.000,-133.000,-133.000,-133.000,-132.000,-53.000,50
-1.473196,-134.000,-134.000,-134.000,-134.000,-134.000,-134.000,-134.000,-134.000,-134.000,-133.000,-55.000,50
-1.435571,-135.000,-135.000,-135.000,-135.000,-135.000,-135.000,-135.000,-135.000,-135.000,-134.000,-58.000,50
-1.397940,-136.000,-136.000,-136.000,-136.000,-136.000,-136.000,-136.000,-136.000,-135.000,-134.000,-59.000,50
-1.360314,-137.000,-137.000,-137.000,-137.000,-137.000,-137.000,-136.000,-136.000,-136.000,-135.000,-60.000,50
-1.322685,-138.000,-138.000,-138.000,-137.000,-137.000,-137.000,-137.000,-137.000,-137.000,-136.000,-61.000,50
-1.285050,-138.000,-138.000,-138.000,-138.000,-138.000,-138.000,-138.000,-138.000,-138.000,-137.000,-62.000,50
-1.247421,-139.000,-139.000,-139.000,-139.000,-139.000,-139.000,-139.000,-139.000,-138.000,-137.000,-63.000,50
-1.209799,-140.000,-140.000,-140.000,-140.000,-140.000,-140.000,-140.000,-140.000,-139.000,-138.000,-64.000,50
-1.172166,-141.000,-141.000,-141.000,-141.000,-141.000,-140.000,-140.000,-140.000,-140.000,-139.000,-64.000,50
-1.134541,-141.000,-141.000,-141.000,-141.000,-141.000,-141.000,-141.000,-141.000,-141.000,-139.000,-65.000,50
