period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-136.000,-132.000,-130.000,-129.000,-126.000,-118.000,-112.000,-107.000,-105.000,-101.000,-95.000
-1.661344,-136.000,-131.000,-130.000,-128.000,-126.000,-116.000,-110.000,-106.000,-104.000,-101.000,-95.000
-1.623715,-136.000,-131.000,-130.000,-129.000,-126.000,-117.000,-110.000,-107.000,-105.000,-101.000,-95.000
-1.586080,-135.000,-131.000,-130.000,-129.000,-126.000,-117.000,-111.000,-107.000,-105.000,-102.000,-96.000
-1.548459,-136.000,-132.000,-130.000,-129.000,-126.000,-117.000,-111.000,-107.000,-105.000,-102.000,-96.000
-1.510829,-135.000,-131.000,-130.000,-128.000,-125.000,-116.000,-111.000,-107.000,-105.000,-102.000,-96.000
-1.473196,-135.000,-131.000,-130.000,-128.000,-125.000,-116.000,-111.000,-107.000,-105.000,-101.000,-96.000
-1.435571,-136.000,-132.000,-131.000,-130.000,-127.000,-118.000,-112.000,-108.000,-106.000,-102.000,-96.000
-1.397940,-138.000,-135.000,-134.000,-132.000,-129.000,-120.000,-114.000,-109.000,-107.000,-104.000,-96.000
-1.360314,-142.000,-139.000,-137.000,-136.000,-133.000,-126.000,-119.000,-115.000,-113.000,-109.000,-101.000
-1.322685,-143.000,-140.000,-138.000,-137.000,-134.000,-128.000,-121.000,-117.000,-114.000,-110.000,-102.000
-1.285050,-144.000,-142.000,-139.000,-138.000,-135.000,-131.000,-125.000,-119.000,-117.000,-113.000,-103.000
-1.247421,-145.000,-143.000,-141.000,-140.000,-137.000,-133.000,-128.000,-122.000,-119.000,-114.000,-104.000
-1.209799,-146.000,-143.000,-141.000,-140.000,-137.000,-133.000,-128.000,-123.000,-120.000,-115.000,-104.000
-1.172166,-146.000,-143.000,-142.000,-140.000,-137.000,-133.000,-130.000,-125.000,-123.000,-117.000,-104.000
-1.134541,-146.000,-144.000,-142.000,-141.000,-138.000,-134.000,-131.000,-128.000,-125.000,-119.000,-105.000
-1.096910,-147.000,-144.000,-143.000,-141.000,-139.000,-134.000,-132.000,-129.000,-127.000,-120.000,-106.000
-1.059279,-147.000,-146.000,-144.000,-143.000,-140.000,-135.000,-132.000,-130.000,-128.000,-120.000,-105.000
