period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-146.000,-144.000,-143.000,-142.000,-141.000,-138.000,-133.000,-125.000,-120.000,-113.000,-101.000
-1.661344,-145.000,-144.000,-143.000,-142.000,-141.000,-138.000,-133.000,-125.000,-120.000,-112.000,-101.000
-1.623715,-145.000,-144.000,-143.000,-142.000,-141.000,-138.000,-132.000,-125.000,-120.000,-112.000,-101.000
-1.586080,-146.000,-144.000,-143.000,-142.000,-141.000,-138.000,-131.000,-125.000,-120.000,-112.000,-101.000
-1.548459,-146.000,-144.000,-143.000,-142.000,-141.000,-138.000,-131.000,-125.000,-121.000,-112.000,-101.000
-1.510829,-145.000,-143.000,-142.000,-142.000,-140.000,-137.000,-131.000,-125.000,-120.000,-112.000,-101.000
-1.473196,-145.000,-143.000,-142.000,-142.000,-140.000,-137.000,-131.000,-125.000,-120.000,-112.000,-100.000
-1.435571,-146.000,-144.000,-143.000,-142.000,-141.000,-138.000,-132.000,-126.000,-121.000,-113.000,-100.000
-1.397940,-148.000,-146.000,-144.000,-144.000,-142.000,-139.000,-132.000,-126.000,-123.000,-114.000,-100.000
-1.360314,-148.000,-146.000,-145.000,-144.000,-143.000,-139.000,-133.000,-127.000,-124.000,-115.000,-99.000
-1.322685,-148.000,-146.000,-145.000,-144.000,-143.000,-139.000,-134.000,-128.000,-125.000,-116.000,-91.000
-1.285050,-149.000,-147.000,-145.000,-144.000,-143.000,-140.000,-135.000,-130.000,-127.000,-117.000,-87.000
-1.247421,-149.000,-147.000,-146.000,-145.000,-143.000,-140.000,-136.000,-131.000,-127.000,-118.000,-85.000
-1.209799,-149.000,-147.000,-146.000,-145.000,-144.000,-141.000,-137.000,-131.000,-127.000,-119.000,-85.000
-1.172166,-150.000,-148.000,-147.000,-146.000,-144.000,-141.000,-137.000,-132.000,-127.000,-119.000,-84.000
-1.134541,-151.000,-149.000,-148.000,-147.000,-145.000,-142.000,-138.000,-133.000,-128.000,-119.000,-83.000
-1.096910,-153.000,-150.000,-149.000,-148.000,-146.000,-141.000,-137.000,-133.000,-128.000,-119.000,-82.000
-1.059279,-154.000,-152.000,-150.000,-148.000,-146.000,-141.000,-137.000,-133.000,-129.000,-118.000,-82.000
-1.021651,-155.000,-153.000,-151.000,-149.000,-147.000,-141.000,-137.000,-133.000,-130.000,-119.000,-83.000
-0.984024,-156.000,-154.000,-152.000,-150.000,-148.000,-142.000,-137.000,-134.000,-130.000,-120.000,-84.000
-0.946395,-157.000,-155.000,-153.000,-151.000,-148.000,-142.000,-137.000,-134.000,-131.000,-121.000,-85.000
-0.908766,-157.000,-155.000,-153.000,-151.000,-148.000,-142.000,-137.000,-134.000,-130.000,-121.000,-85.000
-0.871139,-158.000,-155.000,-153.000,-152.000,-148.000,-142.000,-137.000,-133.000,-130.000,-120.000,-86.000
-0.833508,-158.000,-155.000,-153.000,-152.000,-148.000,-142.000,-137.000,-133.000,-130.000,-120.000,-86.000
-0.795880,-158.000,-156.000,-154.000,-153.000,-150.000,-146.000,-142.000,-137.000,-132.000,-120.000,-86.000
-0.758252,-160.000,-158.000,-157.000,-155.000,-153.000,-149.000,-144.000,-138.000,-133.000,-120.000,-85.000
-0.720623,-160.000,-158.000,-157.000,-155.000,-153.000,-149.000,-144.000,-138.000,-132.000,-120.000,-85.000
-0.682994,-160.000,-158.000,-156.000,-155.000,-153.000,-149.000,-144.000,-138.000,-132.000,-120.000,-85.000
-0.645365,-160.000,-158.000,-156.000,-155.000,-153.000,-149.000,-144.000,-137.000,-132.000,-120.000,-85.000
-0.607736,-160.000,-158.000,-156.000,-155.000,-153.000,-149.000,-144.000,-137.000,-132.000,-120.000,-85.000
-0.570107,-160.000,-158.000,-156.000,-155.000,-153.000,-149.000,-144.000,-137.000,-132.000,-120.000,-85.000
-0.532479,-160.000,-158.000,-156.000,-155.000,-153.000,-149.000,-144.000,-137.000,-132.000,-120.000,-85.000
-0.494850,-160.000,-158.000,-156.000,-155.000,-153.000,-149.000,-144.000,-137.000,-132.000,-120.000,-86.000
-0.457222,-159.000,-158.000,-156.000,-155.000,-154.000,-149.000,-144.000,-137.000,-132.000,-120.000,-90.000
-0.419593,-159.000,-157.000,-156.000,-155.000,-154.000,-149.000,-144.000,-137.000,-133.000,-121.000,-94.000
-0.381963,-159.000,-157.000,-156.000,-155.000,-154.000,-150.000,-145.000,-138.000,-133.000,-122.000,-95.000
-0.344335,-158.000,-156.000,-155.000,-154.000,-153.000,-150.000,-145.000,-139.000,-134.000,-122.000,-94.000
-0.306707,-158.000,-156.000,-154.000,-153.000,-152.000,-150.000,-146.000,-140.000,-135.000,-122.000,-94.000
-0.269077,-157.000,-155.000,-153.000,-152.000,-151.000,-149.000,-146.000,-141.000,-136.000,-122.000,-93.000
-0.231448,-155.000,-153.000,-152.000,-151.000,-149.000,-147.000,-145.000,-141.000,-136.000,-122.000,-92.000
-0.193820,-154.000,-151.000,-150.000,-149.000,-148.000,-145.000,-143.000,-140.000,-135.000,-122.000,-92.000
-0.156191,-152.000,-149.000,-148.000,-147.000,-146.000,-143.000,-141.000,-139.000,-135.000,-121.000,-91.000
-0.118562,-150.000,-147.000,-146.000,-145.000,-144.000,-141.000,-139.000,-137.000,-134.000,-121.000,-90.000
-0.080934,-147.000,-145.000,-143.000,-142.000,-141.000,-138.000,-136.000,-134.000,-132.000,-121.000,-90.000
-0.043305,-145.000,-142.000,-140.000,-139.000,-138.000,-135.000,-133.000,-131.000,-129.000,-121.000,-90.000
-0.005676,-143.000,-139.000,-138.000,-137.000,-135.000,-133.000,-130.000,-128.000,-127.000,-121.000,-90.000
0.031952,-141.000,-137.000,-135.000,-134.000,-133.000,-130.000,-128.000,-126.000,-124.000,-120.000,-89.000
0.069581,-139.000,-135.000,-133.000,-132.000,-130.000,-128.000,-126.000,-123.000,-122.000,-118.000,-90.000
0.107210,-138.000,-133.000,-131.000,-130.000,-129.000,-126.000,-124.000,-122.000,-120.000,-116.000,-90.000
0.144839,-136.000,-132.000,-130.000,-129.000,-127.000,-125.000,-123.000,-120.000,-118.000,-115.000,-91.000
0.182467,-135.000,-131.000,-129.000,-128.000,-126.000,-124.000,-121.000,-119.000,-117.000,-113.000,-92.000
0.220096,-134.000,-130.000,-128.000,-126.000,-125.000,-122.000,-120.000,-118.000,-115.000,-112.000,-92.000
0.257725,-134.000,-129.000,-127.000,-126.000,-124.000,-121.000,-119.000,-117.000,-114.000,-110.000,-93.000
0.295354,-133.000,-128.000,-126.000,-125.000,-123.000,-120.000,-118.000,-115.000,-113.000,-109.000,-94.000
0.332983,-132.000,-127.000,-126.000,-124.000,-122.000,-119.000,-117.000,-114.000,-112.000,-108.000,-93.000
0.370611,-131.000,-127.000,-125.000,-124.000,-121.000,-118.000,-116.000,-113.000,-111.000,-107.000,-92.000
0.408240,-130.000,-126.000,-125.000,-123.000,-121.000,-117.000,-115.000,-112.000,-110.000,-106.000,-92.000
0.445869,-129.000,-126.000,-124.000,-122.000,-120.000,-117.000,-114.000,-112.000,-109.000,-105.000,-92.000
0.483497,-128.000,-126.000,-124.000,-122.000,-120.000,-116.000,-113.000,-111.000,-109.000,-104.000,-92.000
0.521126,-128.000,-125.000,-123.000,-122.000,-120.000,-116.000,-113.000,-111.000,-108.000,-104.000,-92.000
0.558755,-128.000,-125.000,-123.000,-122.000,-120.000,-116.000,-113.000,-111.000,-108.000,-104.000,-92.000
0.596384,-129.000,-126.000,-124.000,-122.000,-120.000,-116.000,-113.000,-111.000,-108.000,-104.000,-92.000
0.634012,-129.000,-126.000,-124.000,-122.000,-120.000,-116.000,-113.000,-111.000,-108.000,-104.000,-92.000
0.671641,-130.000,-126.000,-124.000,-123.000,-121.000,-117.000,-114.000,-111.000,-109.000,-104.000,-92.000
0.709270,-132.000,-127.000,-125.000,-124.000,-121.000,-118.000,-114.000,-112.000,-110.000,-104.000,-93.000
0.746899,-133.000,-129.000,-127.000,-125.000,-122.000,-118.000,-115.000,-112.000,-110.000,-105.000,-95.000
0.784527,-134.000,-131.000,-129.000,-127.000,-124.000,-120.000,-116.000,-113.000,-111.000,-107.000,-95.000
0.822156,-136.000,-133.000,-131.000,-129.000,-126.000,-121.000,-117.000,-114.000,-112.000,-108.000,-93.000
0.859785,-137.000,-135.000,-133.000,-131.000,-128.000,-122.000,-118.000,-114.000,-112.000,-109.000,-90.000
0.897414,-138.000,-136.000,-134.000,-132.000,-129.000,-123.000,-118.000,-115.000,-113.000,-109.000,-88.000
0.935042,-138.000,-136.000,-135.000,-133.000,-130.000,-124.000,-119.000,-115.000,-113.000,-110.000,-86.000
0.972671,-139.000,-137.000,-135.000,-133.000,-131.000,-126.000,-120.000,-116.000,-114.000,-111.000,-86.000
1.010300,-140.000,-138.000,-137.000,-135.000,-134.000,-129.000,-122.000,-118.000,-116.000,-113.000,-85.000
1.047929,-145.000,-142.000,-141.000,-140.000,-138.000,-134.000,-128.000,-122.000,-120.000,-116.000,-85.000
1.085557,-150.000,-148.000,-147.000,-146.000,-144.000,-140.000,-135.000,-129.000,-125.000,-117.000,-84.000
1.123186,-154.000,-152.000,-151.000,-150.000,-149.000,-146.000,-141.000,-136.000,-130.000,-118.000,-84.000
1.160815,-156.000,-155.000,-153.000,-152.000,-151.000,-148.000,-144.000,-140.000,-135.000,-118.000,-85.000
1.198444,-157.000,-155.000,-154.000,-154.000,-152.000,-149.000,-145.000,-141.000,-136.000,-118.000,-86.000
1.236072,-157.000,-156.000,-155.000,-154.000,-153.000,-150.000,-145.000,-141.000,-136.000,-118.000,-87.000
1.273701,-158.000,-157.000,-156.000,-155.000,-154.000,-151.000,-146.000,-141.000,-136.000,-118.000,-86.000
1.311330,-160.000,-158.000,-157.000,-156.000,-155.000,-152.000,-147.000,-142.000,-136.000,-118.000,-85.000
1.348959,-163.000,-161.000,-159.000,-159.000,-157.000,-154.000,-149.000,-143.000,-137.000,-118.000,-85.000
1.386587,-166.000,-164.000,-162.000,-161.000,-160.000,-156.000,-151.000,-145.000,-138.000,-120.000,-85.000
1.424216,-169.000,-167.000,-165.000,-164.000,-162.000,-158.000,-152.000,-146.000,-139.000,-121.000,-85.000
1.461845,-172.000,-169.000,-168.000,-166.000,-164.000,-160.000,-153.000,-147.000,-140.000,-122.000,-85.000
1.499474,-173.000,-171.000,-169.000,-167.000,-165.000,-160.000,-154.000,-147.000,-142.000,-124.000,-86.000
1.537102,-173.000,-171.000,-169.000,-168.000,-165.000,-160.000,-154.000,-148.000,-142.000,-125.000,-88.000
1.574731,-173.000,-171.000,-169.000,-167.000,-165.000,-160.000,-153.000,-148.000,-143.000,-127.000,-89.000
1.612360,-173.000,-170.000,-169.000,-167.000,-164.000,-159.000,-153.000,-148.000,-143.000,-129.000,-90.000
1.649989,-172.000,-169.000,-168.000,-167.000,-164.000,-159.000,-153.000,-148.000,-144.000,-131.000,-90.000
1.687617,-171.000,-169.000,-167.000,-166.000,-163.000,-158.000,-153.000,-147.000,-144.000,-132.000,-89.000
1.725246,-170.000,-168.000,-166.000,-165.000,-162.000,-157.000,-152.000,-147.000,-143.000,-133.000,-91.000
1.762875,-169.000,-167.000,-166.000,-165.000,-162.000,-157.000,-152.000,-147.000,-143.000,-134.000,-91.000
1.800504,-168.000,-166.000,-165.000,-164.000,-161.000,-156.000,-151.000,-147.000,-143.000,-134.000,-91.000
1.838132,-167.000,-165.000,-164.000,-163.000,-160.000,-155.000,-151.000,-146.000,-143.000,-134.000,-93.000
1.875761,-165.000,-164.000,-163.000,-162.000,-160.000,-154.000,-151.000,-146.000,-143.000,-134.000,-96.000
1.913390,-164.000,-163.000,-162.000,-161.000,-159.000,-154.000,-150.000,-146.000,-142.000,-134.000,-97.000
1.951019,-163.000,-162.000,-161.000,-160.000,-158.000,-153.000,-149.000,-145.000,-142.000,-133.000,-97.000
1.988647,-163.000,-161.000,-160.000,-159.000,-158.000,-152.000,-149.000,-145.000,-142.000,-133.000,-99.000
2.026276,-162.000,-160.000,-159.000,-159.000,-157.000,-151.000,-148.000,-144.000,-142.000,-133.000,-100.000
2.063905,-161.000,-160.000,-159.000,-158.000,-156.000,-151.000,-148.000,-144.000,-141.000,-133.000,-99.000
2.101534,-161.000,-159.000,-158.000,-158.000,-156.000,-150.000,-147.000,-144.000,-141.000,-133.000,-99.000
2.139162,-160.000,-159.000,-158.000,-157.000,-155.000,-150.000,-147.000,-143.000,-141.000,-133.000,-98.000
2.176791,-160.000,-159.000,-158.000,-157.000,-155.000,-149.000,-146.000,-143.000,-140.000,-132.000,-98.000
2.214420,-160.000,-158.000,-157.000,-156.000,-154.000,-149.000,-145.000,-142.000,-140.000,-132.000,-97.000
