period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-146.000,-143.000,-142.000,-141.000,-139.000,-136.000,-133.000,-131.000,-129.000,-125.000,-111.000
-1.661344,-146.000,-143.000,-141.000,-140.000,-139.000,-136.000,-133.000,-130.000,-128.000,-124.000,-107.000
-1.623715,-145.000,-143.000,-141.000,-140.000,-138.000,-135.000,-133.000,-130.000,-128.000,-124.000,-107.000
-1.586080,-145.000,-142.000,-141.000,-140.000,-138.000,-135.000,-132.000,-129.000,-128.000,-123.000,-108.000
-1.548459,-145.000,-142.000,-140.000,-139.000,-138.000,-135.000,-132.000,-129.000,-127.000,-123.000,-108.000
-1.510829,-144.000,-141.000,-139.000,-138.000,-137.000,-134.000,-131.000,-128.000,-126.000,-122.000,-108.000
-1.473196,-143.000,-140.000,-139.000,-138.000,-136.000,-133.000,-130.000,-128.000,-126.000,-121.000,-107.000
-1.435571,-143.000,-140.000,-139.000,-138.000,-136.000,-133.000,-130.000,-127.000,-125.000,-121.000,-107.000
-1.397940,-143.000,-140.000,-139.000,-137.000,-136.000,-132.000,-130.000,-127.000,-125.000,-121.000,-107.000
-1.360314,-143.000,-140.000,-139.000,-137.000,-135.000,-132.000,-129.000,-127.000,-125.000,-120.000,-107.000
-1.322685,-143.000,-140.000,-139.000,-137.000,-135.000,-132.000,-129.000,-126.000,-124.000,-120.000,-106.000
-1.285050,-143.000,-140.000,-139.000,-137.000,-135.000,-131.000,-128.000,-126.000,-124.000,-120.000,-104.000
-1.247421,-143.000,-141.000,-139.000,-137.000,-135.000,-131.000,-128.000,-125.000,-124.000,-120.000,-99.000
-1.209799,-143.000,-141.000,-139.000,-137.000,-134.000,-130.000,-127.000,-125.000,-124.000,-119.000,-95.000
-1.172166,-143.000,-141.000,-139.000,-137.000,-134.000,-130.000,-127.000,-125.000,-123.000,-119.000,-93.000
-1.134541,-143.000,-141.000,-139.000,-137.000,-135.000,-130.000,-127.000,-125.000,-123.000,-119.000,-92.000
-1.096910,-144.000,-141.000,-139.000,-138.000,-135.000,-130.000,-127.000,-125.000,-123.000,-119.000,-92.000
-1.059279,-144.000,-141.000,-139.000,-138.000,-135.000,-130.000,-127.000,-125.000,-123.000,-119.000,-91.000
-1.021651,-144.000,-141.000,-140.000,-138.000,-135.000,-130.000,-127.000,-125.000,-124.000,-119.000,-91.000
-0.984024,-144.000,-142.000,-140.000,-138.000,-135.000,-131.000,-128.000,-126.000,-124.000,-120.000,-90.000
-0.946395,-145.000,-142.000,-140.000,-139.000,-136.000,-131.000,-128.000,-126.000,-125.000,-120.000,-90.000
-0.908766,-145.000,-143.000,-141.000,-139.000,-136.000,-132.000,-129.000,-128.000,-126.000,-121.000,-92.000
-0.871139,-146.000,-143.000,-142.000,-140.000,-137.000,-133.000,-131.000,-129.000,-127.000,-122.000,-93.000
-0.833508,-147.000,-144.000,-143.000,-141.000,-138.000,-134.000,-132.000,-130.000,-128.000,-123.000,-93.000
-0.795880,-148.000,-146.000,-144.000,-142.000,-139.000,-135.000,-133.000,-131.000,-130.000,-124.000,-93.000
-0.758252,-149.000,-147.000,-145.000,-144.000,-141.000,-137.000,-134.000,-132.000,-131.000,-124.000,-93.000
-0.720623,-150.000,-148.000,-146.000,-145.000,-142.000,-138.000,-136.000,-134.000,-133.000,-125.000,-94.000
-0.682994,-151.000,-149.000,-147.000,-145.000,-143.000,-139.000,-137.000,-135.000,-134.000,-126.000,-94.000
-0.645365,-151.000,-149.000,-148.000,-146.000,-144.000,-140.000,-138.000,-136.000,-134.000,-126.000,-93.000
-0.607736,-152.000,-149.000,-148.000,-146.000,-144.000,-141.000,-139.000,-137.000,-135.000,-126.000,-93.000
-0.570107,-152.000,-149.000,-148.000,-147.000,-145.000,-142.000,-140.000,-137.000,-135.000,-126.000,-94.000
-0.532479,-151.000,-149.000,-147.000,-146.000,-145.000,-142.000,-140.000,-137.000,-135.000,-126.000,-94.000
-0.494850,-150.000,-148.000,-147.000,-145.000,-144.000,-142.000,-139.000,-137.000,-135.000,-126.000,-94.000
-0.457222,-150.000,-147.000,-146.000,-145.000,-143.000,-141.000,-139.000,-136.000,-134.000,-126.000,-93.000
-0.419593,-149.000,-146.000,-145.000,-144.000,-142.000,-139.000,-137.000,-135.000,-133.000,-125.000,-93.000
-0.381963,-148.000,-145.000,-144.000,-143.000,-141.000,-138.000,-136.000,-134.000,-132.000,-125.000,-93.000
-0.344335,-147.000,-144.000,-143.000,-142.000,-140.000,-137.000,-135.000,-133.000,-131.000,-125.000,-93.000
-0.306707,-146.000,-143.000,-142.000,-141.000,-139.000,-136.000,-134.000,-131.000,-130.000,-125.000,-93.000
-0.269077,-145.000,-142.000,-141.000,-139.000,-138.000,-135.000,-132.000,-130.000,-129.000,-124.000,-92.000
-0.231448,-144.000,-141.000,-140.000,-138.000,-137.000,-134.000,-131.000,-129.000,-128.000,-123.000,-92.000
-0.193820,-143.000,-140.000,-139.000,-138.000,-136.000,-133.000,-130.000,-128.000,-127.000,-123.000,-91.000
-0.156191,-142.000,-139.000,-138.000,-137.000,-135.000,-132.000,-130.000,-128.000,-126.000,-123.000,-91.000
-0.118562,-141.000,-139.000,-137.000,-136.000,-134.000,-131.000,-129.000,-127.000,-126.000,-122.000,-91.000
-0.080934,-140.000,-137.000,-136.000,-135.000,-133.000,-130.000,-128.000,-126.000,-125.000,-122.000,-90.000
-0.043305,-139.000,-136.000,-134.000,-133.000,-131.000,-129.000,-126.000,-124.000,-123.000,-120.000,-91.000
-0.005676,-137.000,-134.000,-132.000,-131.000,-129.000,-127.000,-124.000,-123.000,-121.000,-118.000,-90.000
0.031952,-136.000,-132.000,-130.000,-129.000,-128.000,-125.000,-123.000,-121.000,-119.000,-115.000,-88.000
0.069581,-135.000,-130.000,-129.000,-128.000,-126.000,-123.000,-121.000,-119.000,-117.000,-114.000,-87.000
0.107210,-134.000,-129.000,-127.000,-126.000,-125.000,-122.000,-120.000,-117.000,-116.000,-112.000,-86.000
0.144839,-133.000,-128.000,-126.000,-125.000,-123.000,-121.000,-119.000,-116.000,-114.000,-111.000,-86.000
0.182467,-132.000,-127.000,-125.000,-124.000,-122.000,-120.000,-118.000,-115.000,-113.000,-110.000,-86.000
0.220096,-132.000,-127.000,-125.000,-124.000,-122.000,-119.000,-117.000,-114.000,-112.000,-109.000,-86.000
0.257725,-131.000,-126.000,-124.000,-123.000,-121.000,-118.000,-116.000,-114.000,-112.000,-108.000,-86.000
0.295354,-131.000,-126.000,-124.000,-123.000,-121.000,-118.000,-116.000,-113.000,-111.000,-107.000,-86.000
0.332983,-131.000,-126.000,-124.000,-123.000,-121.000,-118.000,-115.000,-113.000,-111.000,-107.000,-88.000
0.370611,-131.000,-126.000,-124.000,-123.000,-121.000,-118.000,-115.000,-113.000,-111.000,-106.000,-89.000
0.408240,-131.000,-127.000,-125.000,-123.000,-121.000,-118.000,-115.000,-113.000,-111.000,-106.000,-90.000
0.445869,-131.000,-127.000,-125.000,-124.000,-122.000,-118.000,-115.000,-113.000,-111.000,-106.000,-91.000
0.483497,-130.000,-127.000,-125.000,-124.000,-122.000,-118.000,-115.000,-113.000,-111.000,-106.000,-92.000
0.521126,-130.000,-128.000,-126.000,-124.000,-122.000,-119.000,-116.000,-113.000,-111.000,-106.000,-94.000
0.558755,-130.000,-128.000,-126.000,-124.000,-122.000,-119.000,-116.000,-114.000,-111.000,-106.000,-93.000
0.596384,-131.000,-128.000,-127.000,-125.000,-123.000,-120.000,-117.000,-114.000,-112.000,-106.000,-93.000
0.634012,-131.000,-129.000,-127.000,-126.000,-124.000,-120.000,-117.000,-115.000,-113.000,-106.000,-93.000
0.671641,-132.000,-130.000,-128.000,-126.000,-124.000,-121.000,-118.000,-115.000,-114.000,-107.000,-94.000
0.709270,-133.000,-130.000,-128.000,-127.000,-125.000,-122.000,-119.000,-116.000,-114.000,-108.000,-95.000
0.746899,-134.000,-131.000,-130.000,-128.000,-126.000,-122.000,-119.000,-116.000,-115.000,-109.000,-97.000
0.784527,-135.000,-133.000,-131.000,-130.000,-127.000,-123.000,-120.000,-117.000,-115.000,-111.000,-100.000
0.822156,-137.000,-135.000,-133.000,-131.000,-129.000,-124.000,-120.000,-117.000,-115.000,-112.000,-95.000
0.859785,-139.000,-136.000,-135.000,-133.000,-131.000,-125.000,-121.000,-117.000,-116.000,-112.000,-92.000
0.897414,-140.000,-137.000,-136.000,-134.000,-132.000,-126.000,-121.000,-118.000,-116.000,-112.000,-90.000
0.935042,-140.000,-138.000,-136.000,-134.000,-133.000,-127.000,-122.000,-118.000,-116.000,-113.000,-89.000
0.972671,-141.000,-139.000,-137.000,-135.000,-133.000,-128.000,-122.000,-118.000,-117.000,-113.000,-88.000
1.010300,-142.000,-140.000,-138.000,-137.000,-135.000,-130.000,-124.000,-120.000,-118.000,-114.000,-87.000
1.047929,-146.000,-144.000,-142.000,-141.000,-139.000,-134.000,-128.000,-123.000,-121.000,-116.000,-85.000
1.085557,-151.000,-149.000,-148.000,-147.000,-145.000,-141.000,-134.000,-128.000,-125.000,-116.000,-84.000
