period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-146.000,-144.000,-143.000,-143.000,-142.000,-139.000,-136.000,-126.000,-50.000,-50.000,-50.000
-1.661344,-146.000,-144.000,-143.000,-143.000,-142.000,-139.000,-136.000,-126.000,-50.000,-50.000,-50.000
-1.623715,-146.000,-144.000,-143.000,-143.000,-142.000,-139.000,-136.000,-126.000,-50.000,-50.000,-50.000
-1.586080,-146.000,-145.000,-144.000,-143.000,-142.000,-140.000,-136.000,-126.000,-50.000,-50.000,-50.000
-1.548459,-146.000,-145.000,-144.000,-143.000,-142.000,-140.000,-137.000,-127.000,-50.000,-50.000,-50.000
-1.510829,-146.000,-144.000,-143.000,-143.000,-142.000,-139.000,-136.000,-126.000,-50.000,-50.000,-50.000
-1.473196,-146.000,-145.000,-144.000,-143.000,-142.000,-140.000,-137.000,-127.000,-50.000,-50.000,-50.000
-1.435571,-147.000,-146.000,-145.000,-144.000,-143.000,-141.000,-137.000,-128.000,-50.000,-50.000,-50.000
-1.397940,-149.000,-147.000,-146.000,-145.000,-144.000,-141.000,-137.000,-128.000,-50.000,-50.000,-50.000
-1.360314,-149.000,-148.000,-147.000,-146.000,-144.000,-140.000,-136.000,-128.000,-50.000,-50.000,-50.000
-1.322685,-150.000,-148.000,-147.000,-146.000,-144.000,-139.000,-134.000,-127.000,-50.000,-50.000,-50.000
-1.285050,-151.000,-149.000,-147.000,-146.000,-143.000,-137.000,-133.000,-126.000,-50.000,-50.000,-50.000
-1.247421,-151.000,-149.000,-147.000,-146.000,-142.000,-136.000,-132.000,-125.000,-50.000,-50.000,-50.000
-1.209799,-151.000,-149.000,-147.000,-145.000,-142.000,-135.000,-131.000,-124.000,-50.000,-50.000,-50.000
-1.172166,-151.000,-149.000,-147.000,-145.000,-142.000,-135.000,-130.000,-123.000,-50.000,-50.000,-50.000
-1.134541,-152.000,-150.000,-148.000,-147.000,-142.000,-135.000,-130.000,-122.000,-50.000,-50.000,-50.000
-1.096910,-154.000,-152.000,-151.000,-148.000,-143.000,-135.000,-130.000,-122.000,-50.000,-50.000,-50.000
-1.059279,-155.000,-153.000,-152.000,-150.000,-143.000,-135.000,-130.000,-122.000,-50.000,-50.000,-50.000
-1.021651,-156.000,-154.000,-153.000,-150.000,-144.000,-135.000,-130.000,-122.000,-50.000,-50.000,-50.000
-0.984024,-156.000,-155.000,-153.000,-151.000,-145.000,-137.000,-132.000,-123.000,-50.000,-50.000,-50.000
-0.946395,-156.000,-155.000,-153.000,-151.000,-146.000,-138.000,-133.000,-124.000,-50.000,-50.000,-50.000
-0.908766,-155.000,-153.000,-151.000,-149.000,-146.000,-139.000,-134.000,-125.000,-50.000,-50.000,-50.000
-0.871139,-155.000,-153.000,-151.000,-149.000,-146.000,-140.000,-135.000,-126.000,-50.000,-50.000,-50.000
-0.833508,-155.000,-153.000,-151.000,-149.000,-147.000,-141.000,-136.000,-127.000,-50.000,-50.000,-50.000
-0.795880,-155.000,-153.000,-151.000,-150.000,-147.000,-142.000,-138.000,-128.000,-50.000,-50.000,-50.000
-0.758252,-155.000,-153.000,-151.000,-150.000,-147.000,-143.000,-139.000,-129.000,-50.000,-50.000,-50.000
-0.720623,-156.000,-153.000,-151.000,-150.000,-148.000,-144.000,-140.000,-129.000,-50.000,-50.000,-50.000
-0.682994,-156.000,-153.000,-151.000,-150.000,-148.000,-145.000,-140.000,-129.000,-50.000,-50.000,-50.000
-0.645365,-156.000,-153.000,-151.000,-150.000,-148.000,-145.000,-140.000,-128.000,-50.000,-50.000,-50.000
-0.607736,-158.000,-156.000,-154.000,-153.000,-151.000,-147.000,-142.000,-128.000,-50.000,-50.000,-50.000
-0.570107,-158.000,-156.000,-154.000,-153.000,-151.000,-147.000,-142.000,-128.000,-50.000,-50.000,-50.000
-0.532479,-158.000,-156.000,-154.000,-153.000,-151.000,-147.000,-142.000,-129.000,-50.000,-50.000,-50.000
-0.494850,-158.000,-156.000,-154.000,-153.000,-151.000,-148.000,-142.000,-129.000,-50.000,-50.000,-50.000
-0.457222,-158.000,-156.000,-155.000,-153.000,-151.000,-148.000,-143.000,-129.000,-50.000,-50.000,-50.000
-0.419593,-158.000,-156.000,-155.000,-153.000,-151.000,-148.000,-142.000,-129.000,-50.000,-50.000,-50.000
-0.381963,-158.000,-156.000,-155.000,-154.000,-151.000,-148.000,-142.000,-129.000,-50.000,-50.000,-50.000
-0.344335,-157.000,-156.000,-155.000,-153.000,-151.000,-148.000,-142.000,-129.000,-50.000,-50.000,-50.000
-0.306707,-157.000,-155.000,-154.000,-153.000,-151.000,-148.000,-141.000,-129.000,-50.000,-50.000,-50.000
-0.269077,-156.000,-154.000,-153.000,-152.000,-151.000,-148.000,-141.000,-129.000,-50.000,-50.000,-50.000
-0.231448,-155.000,-153.000,-152.000,-151.000,-150.000,-147.000,-141.000,-129.000,-50.000,-50.000,-50.000
-0.193820,-154.000,-152.000,-151.000,-150.000,-149.000,-146.000,-140.000,-129.000,-50.000,-50.000,-50.000
-0.156191,-152.000,-150.000,-149.000,-149.000,-147.000,-145.000,-140.000,-129.000,-50.000,-50.000,-50.000
-0.118562,-151.000,-149.000,-148.000,-147.000,-146.000,-143.000,-139.000,-129.000,-50.000,-50.000,-50.000
-0.080934,-149.000,-147.000,-146.000,-145.000,-144.000,-141.000,-138.000,-129.000,-50.000,-50.000,-50.000
-0.043305,-148.000,-146.000,-145.000,-144.000,-143.000,-140.000,-137.000,-129.000,-50.000,-50.000,-50.000
-0.005676,-147.000,-145.000,-143.000,-142.000,-141.000,-139.000,-136.000,-128.000,-50.000,-50.000,-50.000
0.031952,-146.000,-143.000,-142.000,-141.000,-140.000,-137.000,-135.000,-128.000,-50.000,-50.000,-50.000
0.069581,-145.000,-142.000,-141.000,-140.000,-138.000,-136.000,-133.000,-127.000,-50.000,-50.000,-50.000
0.107210,-143.000,-141.000,-139.000,-138.000,-136.000,-134.000,-132.000,-126.000,-50.000,-50.000,-50.000
0.144839,-142.000,-139.000,-138.000,-136.000,-135.000,-133.000,-130.000,-125.000,-50.000,-50.000,-50.000
0.182467,-142.000,-138.000,-136.000,-135.000,-133.000,-131.000,-129.000,-124.000,-50.000,-50.000,-50.000
0.220096,-141.000,-137.000,-135.000,-134.000,-132.000,-130.000,-127.000,-122.000,-50.000,-50.000,-50.000
0.257725,-140.000,-135.000,-134.000,-132.000,-131.000,-128.000,-126.000,-120.000,-50.000,-50.000,-50.000
0.295354,-138.000,-134.000,-133.000,-131.000,-129.000,-127.000,-124.000,-119.000,-50.000,-50.000,-50.000
0.332983,-137.000,-133.000,-132.000,-130.000,-128.000,-125.000,-123.000,-117.000,-50.000,-50.000,-50.000
0.370611,-136.000,-133.000,-131.000,-129.000,-127.000,-124.000,-122.000,-116.000,-50.000,-50.000,-50.000
0.408240,-134.000,-132.000,-130.000,-128.000,-126.000,-123.000,-120.000,-115.000,-50.000,-50.000,-50.000
0.445869,-133.000,-131.000,-129.000,-127.000,-125.000,-122.000,-119.000,-114.000,-50.000,-50.000,-50.000
0.483497,-131.000,-130.000,-128.000,-126.000,-125.000,-121.000,-118.000,-113.000,-50.000,-50.000,-50.000
0.521126,-131.000,-129.000,-127.000,-126.000,-124.000,-121.000,-118.000,-112.000,-50.000,-50.000,-50.000
0.558755,-131.000,-128.000,-126.000,-125.000,-123.000,-120.000,-117.000,-111.000,-50.000,-50.000,-50.000
0.596384,-131.000,-128.000,-126.000,-125.000,-123.000,-120.000,-117.000,-111.000,-50.000,-50.000,-50.000
0.634012,-132.000,-129.000,-127.000,-125.000,-123.000,-120.000,-116.000,-111.000,-50.000,-50.000,-50.000
0.671641,-132.000,-128.000,-127.000,-125.000,-123.000,-119.000,-116.000,-110.000,-50.000,-50.000,-50.000
0.709270,-132.000,-128.000,-127.000,-125.000,-123.000,-119.000,-116.000,-110.000,-50.000,-50.000,-50.000
0.746899,-132.000,-129.000,-128.000,-127.000,-123.000,-119.000,-115.000,-109.000,-50.000,-50.000,-50.000
0.784527,-133.000,-131.000,-128.000,-127.000,-124.000,-120.000,-115.000,-109.000,-50.000,-50.000,-50.000
0.822156,-135.000,-132.000,-130.000,-128.000,-126.000,-121.000,-115.000,-109.000,-50.000,-50.000,-50.000
0.859785,-136.000,-133.000,-131.000,-130.000,-127.000,-122.000,-116.000,-109.000,-50.000,-50.000,-50.000
0.897414,-136.000,-134.000,-132.000,-130.000,-128.000,-123.000,-116.000,-109.000,-50.000,-50.000,-50.000
0.935042,-136.000,-134.000,-133.000,-131.000,-129.000,-124.000,-117.000,-110.000,-50.000,-50.000,-50.000
0.972671,-137.000,-135.000,-133.000,-132.000,-130.000,-125.000,-117.000,-111.000,-50.000,-50.000,-50.000
1.010300,-138.000,-136.000,-135.000,-133.000,-132.000,-128.000,-120.000,-113.000,-50.000,-50.000,-50.000
1.047929,-143.000,-140.000,-139.000,-138.000,-136.000,-132.000,-125.000,-117.000,-50.000,-50.000,-50.000
1.085557,-148.000,-146.000,-145.000,-144.000,-142.000,-138.000,-132.000,-121.000,-50.000,-50.000,-50.000
1.123186,-152.000,-150.000,-149.000,-148.000,-147.000,-143.000,-138.000,-124.000,-50.000,-50.000,-50.000
1.160815,-154.000,-152.000,-151.000,-150.000,-149.000,-145.000,-141.000,-124.000,-50.000,-50.000,-50.000
1.198444,-154.000,-153.000,-152.000,-151.000,-150.000,-146.000,-141.000,-125.000,-50.000,-50.000,-50.000
1.236072,-154.000,-153.000,-152.000,-152.000,-150.000,-147.000,-142.000,-125.000,-50.000,-50.000,-50.000
1.273701,-155.000,-154.000,-153.000,-152.000,-151.000,-148.000,-143.000,-125.000,-50.000,-50.000,-50.000
1.311330,-157.000,-155.000,-154.000,-154.000,-152.000,-150.000,-144.000,-125.000,-50.000,-50.000,-50.000
1.348959,-159.000,-158.000,-157.000,-156.000,-155.000,-151.000,-145.000,-127.000,-50.000,-50.000,-50.000
1.386587,-163.000,-161.000,-160.000,-159.000,-157.000,-154.000,-148.000,-129.000,-50.000,-50.000,-50.000
1.424216,-168.000,-165.000,-164.000,-163.000,-161.000,-157.000,-150.000,-131.000,-50.000,-50.000,-50.000
1.461845,-172.000,-169.000,-167.000,-166.000,-164.000,-159.000,-152.000,-132.000,-50.000,-50.000,-50.000
1.499474,-174.000,-172.000,-170.000,-168.000,-165.000,-160.000,-153.000,-134.000,-50.000,-50.000,-50.000
1.537102,-176.000,-173.000,-171.000,-169.000,-166.000,-160.000,-153.000,-136.000,-50.000,-50.000,-50.000
