period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-154.000,-151.000,-149.000,-148.000,-146.000,-143.000,-138.000,-133.000,-129.000,-124.000,-100.000
-1.661344,-153.000,-150.000,-149.000,-147.000,-146.000,-142.000,-138.000,-132.000,-129.000,-124.000,-100.000
-1.623715,-153.000,-150.000,-148.000,-147.000,-146.000,-142.000,-137.000,-132.000,-128.000,-123.000,-99.000
-1.586080,-152.000,-150.000,-148.000,-147.000,-145.000,-142.000,-137.000,-132.000,-128.000,-123.000,-99.000
-1.548459,-152.000,-150.000,-148.000,-147.000,-145.000,-142.000,-137.000,-132.000,-128.000,-123.000,-99.000
-1.510829,-151.000,-149.000,-147.000,-146.000,-144.000,-141.000,-136.000,-131.000,-127.000,-122.000,-99.000
-1.473196,-150.000,-148.000,-146.000,-145.000,-143.000,-140.000,-136.000,-130.000,-127.000,-121.000,-98.000
-1.435571,-150.000,-148.000,-146.000,-145.000,-143.000,-140.000,-136.000,-130.000,-127.000,-121.000,-98.000
-1.397940,-150.000,-148.000,-146.000,-144.000,-143.000,-139.000,-136.000,-131.000,-127.000,-121.000,-99.000
-1.360314,-150.000,-147.000,-145.000,-144.000,-142.000,-139.000,-135.000,-131.000,-127.000,-121.000,-99.000
-1.322685,-149.000,-147.000,-145.000,-144.000,-142.000,-139.000,-135.000,-131.000,-128.000,-122.000,-100.000
-1.285050,-149.000,-147.000,-145.000,-144.000,-142.000,-138.000,-135.000,-131.000,-128.000,-122.000,-100.000
-1.247421,-149.000,-147.000,-145.000,-144.000,-142.000,-138.000,-135.000,-131.000,-128.000,-122.000,-101.000
-1.209799,-149.000,-147.000,-145.000,-144.000,-142.000,-139.000,-135.000,-131.000,-128.000,-122.000,-101.000
-1.172166,-150.000,-147.000,-145.000,-144.000,-142.000,-139.000,-135.000,-132.000,-128.000,-122.000,-102.000
-1.134541,-150.000,-147.000,-146.000,-144.000,-143.000,-139.000,-136.000,-132.000,-129.000,-122.000,-102.000
-1.096910,-151.000,-148.000,-146.000,-145.000,-143.000,-140.000,-136.000,-132.000,-129.000,-122.000,-103.000
-1.059279,-151.000,-149.000,-147.000,-146.000,-144.000,-140.000,-137.000,-133.000,-129.000,-122.000,-104.000
-1.021651,-152.000,-149.000,-147.000,-146.000,-144.000,-141.000,-137.000,-133.000,-130.000,-122.000,-102.000
-0.984024,-153.000,-150.000,-148.000,-147.000,-145.000,-142.000,-138.000,-134.000,-130.000,-122.000,-101.000
-0.946395,-153.000,-151.000,-149.000,-147.000,-145.000,-142.000,-139.000,-134.000,-131.000,-122.000,-99.000
-0.908766,-154.000,-151.000,-149.000,-148.000,-146.000,-143.000,-139.000,-135.000,-132.000,-122.000,-98.000
-0.871139,-154.000,-152.000,-150.000,-148.000,-146.000,-143.000,-139.000,-135.000,-132.000,-122.000,-95.000
-0.833508,-155.000,-152.000,-150.000,-149.000,-147.000,-143.000,-140.000,-136.000,-132.000,-122.000,-94.000
-0.795880,-155.000,-153.000,-151.000,-149.000,-147.000,-144.000,-141.000,-137.000,-133.000,-122.000,-94.000
-0.758252,-156.000,-153.000,-151.000,-150.000,-148.000,-145.000,-141.000,-138.000,-134.000,-122.000,-93.000
-0.720623,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-123.000,-93.000
-0.682994,-157.000,-154.000,-152.000,-151.000,-149.000,-146.000,-143.000,-139.000,-135.000,-124.000,-92.000
-0.645365,-157.000,-154.000,-153.000,-151.000,-150.000,-146.000,-143.000,-139.000,-135.000,-124.000,-92.000
-0.607736,-157.000,-154.000,-153.000,-151.000,-150.000,-146.000,-142.000,-138.000,-135.000,-124.000,-92.000
-0.570107,-156.000,-154.000,-152.000,-151.000,-150.000,-146.000,-142.000,-138.000,-135.000,-124.000,-92.000
-0.532479,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-125.000,-90.000
-0.494850,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-125.000,-89.000
-0.457222,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-134.000,-126.000,-89.000
-0.419593,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-126.000,-87.000
-0.381963,-156.000,-153.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-126.000,-86.000
-0.344335,-155.000,-153.000,-152.000,-151.000,-149.000,-146.000,-142.000,-138.000,-135.000,-126.000,-85.000
-0.306707,-155.000,-153.000,-152.000,-151.000,-149.000,-146.000,-143.000,-139.000,-136.000,-126.000,-83.000
-0.269077,-155.000,-153.000,-152.000,-151.000,-149.000,-146.000,-143.000,-139.000,-136.000,-126.000,-82.000
-0.231448,-155.000,-153.000,-152.000,-151.000,-149.000,-146.000,-143.000,-139.000,-137.000,-127.000,-81.000
-0.193820,-155.000,-153.000,-152.000,-151.000,-149.000,-147.000,-144.000,-140.000,-137.000,-127.000,-80.000
-0.156191,-155.000,-153.000,-152.000,-151.000,-149.000,-147.000,-144.000,-140.000,-137.000,-127.000,-79.000
-0.118562,-155.000,-153.000,-152.000,-151.000,-150.000,-147.000,-144.000,-140.000,-137.000,-127.000,-79.000
-0.080934,-155.000,-153.000,-152.000,-151.000,-150.000,-148.000,-145.000,-140.000,-137.000,-127.000,-79.000
-0.043305,-154.000,-153.000,-152.000,-151.000,-150.000,-148.000,-145.000,-141.000,-137.000,-127.000,-79.000
-0.005676,-154.000,-152.000,-152.000,-151.000,-150.000,-148.000,-145.000,-141.000,-138.000,-128.000,-79.000
0.031952,-153.000,-152.000,-151.000,-151.000,-150.000,-148.000,-146.000,-141.000,-138.000,-128.000,-80.000
0.069581,-153.000,-152.000,-151.000,-150.000,-150.000,-148.000,-145.000,-141.000,-138.000,-129.000,-81.000
0.107210,-153.000,-151.000,-150.000,-150.000,-149.000,-147.000,-144.000,-141.000,-138.000,-129.000,-82.000
0.144839,-152.000,-150.000,-149.000,-149.000,-148.000,-146.000,-143.000,-140.000,-138.000,-129.000,-82.000
0.182467,-151.000,-149.000,-148.000,-148.000,-147.000,-145.000,-142.000,-140.000,-137.000,-130.000,-83.000
0.220096,-150.000,-148.000,-147.000,-147.000,-146.000,-144.000,-141.000,-139.000,-137.000,-130.000,-85.000
0.257725,-150.000,-147.000,-146.000,-145.000,-144.000,-142.000,-140.000,-137.000,-136.000,-130.000,-86.000
0.295354,-148.000,-146.000,-145.000,-144.000,-143.000,-141.000,-138.000,-136.000,-134.000,-130.000,-90.000
0.332983,-147.000,-145.000,-144.000,-143.000,-142.000,-140.000,-137.000,-134.000,-133.000,-129.000,-92.000
0.370611,-145.000,-143.000,-142.000,-141.000,-140.000,-138.000,-136.000,-133.000,-131.000,-128.000,-93.000
0.408240,-144.000,-141.000,-141.000,-140.000,-139.000,-137.000,-134.000,-131.000,-130.000,-127.000,-95.000
0.445869,-142.000,-140.000,-139.000,-138.000,-137.000,-135.000,-133.000,-130.000,-129.000,-125.000,-95.000
0.483497,-140.000,-139.000,-138.000,-137.000,-136.000,-133.000,-131.000,-128.000,-127.000,-124.000,-96.000
0.521126,-139.000,-137.000,-136.000,-136.000,-134.000,-132.000,-129.000,-127.000,-125.000,-122.000,-96.000
0.558755,-139.000,-137.000,-135.000,-135.000,-133.000,-130.000,-128.000,-125.000,-124.000,-119.000,-97.000
0.596384,-138.000,-136.000,-135.000,-134.000,-132.000,-129.000,-126.000,-124.000,-122.000,-117.000,-99.000
0.634012,-138.000,-136.000,-134.000,-134.000,-132.000,-128.000,-125.000,-122.000,-120.000,-115.000,-100.000
0.671641,-138.000,-136.000,-134.000,-133.000,-131.000,-127.000,-123.000,-120.000,-118.000,-114.000,-92.000
0.709270,-138.000,-136.000,-134.000,-133.000,-131.000,-126.000,-122.000,-119.000,-117.000,-113.000,-91.000
0.746899,-138.000,-136.000,-134.000,-133.000,-130.000,-125.000,-121.000,-118.000,-117.000,-112.000,-90.000
0.784527,-139.000,-137.000,-134.000,-133.000,-131.000,-125.000,-121.000,-118.000,-116.000,-112.000,-89.000
0.822156,-140.000,-138.000,-136.000,-134.000,-132.000,-125.000,-121.000,-118.000,-116.000,-111.000,-89.000
0.859785,-141.000,-139.000,-137.000,-135.000,-132.000,-125.000,-121.000,-118.000,-116.000,-112.000,-89.000
0.897414,-142.000,-139.000,-138.000,-136.000,-133.000,-126.000,-121.000,-118.000,-116.000,-112.000,-88.000
0.935042,-142.000,-140.000,-138.000,-137.000,-134.000,-127.000,-122.000,-118.000,-117.000,-113.000,-88.000
0.972671,-143.000,-141.000,-139.000,-138.000,-136.000,-130.000,-124.000,-120.000,-118.000,-114.000,-89.000
1.010300,-145.000,-142.000,-141.000,-140.000,-138.000,-133.000,-127.000,-122.000,-120.000,-116.000,-88.000
1.047929,-149.000,-146.000,-145.000,-143.000,-142.000,-138.000,-132.000,-126.000,-124.000,-117.000,-86.000
1.085557,-153.000,-150.000,-149.000,-148.000,-146.000,-143.000,-137.000,-131.000,-127.000,-116.000,-85.000
1.123186,-156.000,-154.000,-152.000,-151.000,-149.000,-146.000,-142.000,-136.000,-131.000,-115.000,-84.000
1.160815,-157.000,-155.000,-154.000,-153.000,-151.000,-148.000,-144.000,-139.000,-133.000,-115.000,-84.000
1.198444,-158.000,-156.000,-155.000,-154.000,-152.000,-149.000,-145.000,-140.000,-133.000,-115.000,-84.000
1.236072,-158.000,-157.000,-156.000,-155.000,-153.000,-150.000,-146.000,-140.000,-133.000,-115.000,-84.000
1.273701,-159.000,-157.000,-156.000,-155.000,-154.000,-151.000,-146.000,-141.000,-134.000,-116.000,-84.000
1.311330,-160.000,-158.000,-157.000,-156.000,-155.000,-152.000,-147.000,-141.000,-134.000,-115.000,-84.000
1.348959,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-148.000,-142.000,-135.000,-116.000,-86.000
1.386587,-166.000,-163.000,-162.000,-161.000,-159.000,-155.000,-150.000,-143.000,-136.000,-118.000,-86.000
1.424216,-169.000,-167.000,-165.000,-164.000,-162.000,-157.000,-151.000,-144.000,-138.000,-119.000,-87.000
1.461845,-173.000,-169.000,-167.000,-166.000,-163.000,-158.000,-152.000,-145.000,-139.000,-121.000,-86.000
1.499474,-175.000,-172.000,-169.000,-167.000,-164.000,-158.000,-152.000,-145.000,-140.000,-123.000,-87.000
1.537102,-176.000,-173.000,-170.000,-168.000,-165.000,-158.000,-152.000,-146.000,-141.000,-125.000,-87.000
1.574731,-177.000,-173.000,-171.000,-168.000,-165.000,-158.000,-152.000,-146.000,-141.000,-127.000,-87.000
1.612360,-177.000,-173.000,-171.000,-168.000,-164.000,-158.000,-152.000,-146.000,-141.000,-128.000,-87.000
1.649989,-177.000,-173.000,-170.000,-168.000,-164.000,-157.000,-152.000,-146.000,-142.000,-130.000,-88.000
1.687617,-177.000,-173.000,-170.000,-168.000,-164.000,-157.000,-151.000,-146.000,-142.000,-131.000,-90.000
1.725246,-177.000,-172.000,-170.000,-167.000,-163.000,-156.000,-151.000,-146.000,-142.000,-132.000,-90.000
1.762875,-176.000,-172.000,-169.000,-167.000,-163.000,-156.000,-150.000,-145.000,-142.000,-133.000,-92.000
1.800504,-176.000,-171.000,-169.000,-166.000,-162.000,-155.000,-150.000,-145.000,-142.000,-135.000,-94.000
1.838132,-175.000,-171.000,-168.000,-166.000,-162.000,-155.000,-149.000,-145.000,-141.000,-135.000,-94.000
1.875761,-174.000,-170.000,-167.000,-165.000,-161.000,-154.000,-149.000,-145.000,-141.000,-135.000,-95.000
1.913390,-174.000,-170.000,-167.000,-164.000,-160.000,-154.000,-148.000,-144.000,-141.000,-135.000,-100.000
