period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-156.000,-153.000,-152.000,-151.000,-149.000,-146.000,-141.000,-135.000,-131.000,-126.000,-103.000
-1.661344,-155.000,-153.000,-151.000,-150.000,-149.000,-145.000,-141.000,-135.000,-131.000,-126.000,-103.000
-1.623715,-155.000,-153.000,-151.000,-150.000,-149.000,-145.000,-141.000,-135.000,-131.000,-125.000,-103.000
-1.586080,-155.000,-153.000,-151.000,-150.000,-149.000,-145.000,-141.000,-135.000,-131.000,-125.000,-103.000
-1.548459,-155.000,-152.000,-151.000,-150.000,-148.000,-145.000,-141.000,-135.000,-131.000,-125.000,-103.000
-1.510829,-154.000,-152.000,-150.000,-149.000,-148.000,-144.000,-140.000,-134.000,-131.000,-125.000,-102.000
-1.473196,-153.000,-151.000,-150.000,-149.000,-147.000,-144.000,-140.000,-134.000,-131.000,-125.000,-102.000
-1.435571,-154.000,-151.000,-150.000,-149.000,-147.000,-144.000,-140.000,-135.000,-131.000,-125.000,-102.000
-1.397940,-154.000,-152.000,-150.000,-149.000,-148.000,-145.000,-141.000,-135.000,-132.000,-125.000,-102.000
-1.360314,-154.000,-152.000,-150.000,-149.000,-148.000,-145.000,-141.000,-136.000,-132.000,-126.000,-103.000
-1.322685,-154.000,-152.000,-150.000,-149.000,-148.000,-145.000,-141.000,-136.000,-133.000,-127.000,-103.000
-1.285050,-154.000,-152.000,-150.000,-149.000,-148.000,-145.000,-141.000,-137.000,-133.000,-127.000,-104.000
-1.247421,-154.000,-152.000,-151.000,-150.000,-148.000,-145.000,-141.000,-137.000,-133.000,-127.000,-104.000
-1.209799,-154.000,-152.000,-151.000,-150.000,-148.000,-145.000,-141.000,-137.000,-133.000,-127.000,-105.000
-1.172166,-154.000,-152.000,-151.000,-150.000,-148.000,-145.000,-141.000,-137.000,-134.000,-127.000,-106.000
-1.134541,-155.000,-153.000,-151.000,-150.000,-148.000,-145.000,-141.000,-137.000,-134.000,-127.000,-106.000
-1.096910,-155.000,-153.000,-152.000,-150.000,-148.000,-145.000,-141.000,-137.000,-134.000,-126.000,-107.000
-1.059279,-156.000,-153.000,-152.000,-151.000,-149.000,-145.000,-141.000,-137.000,-134.000,-125.000,-107.000
-1.021651,-156.000,-154.000,-152.000,-151.000,-149.000,-145.000,-141.000,-137.000,-134.000,-125.000,-106.000
-0.984024,-157.000,-154.000,-153.000,-151.000,-149.000,-145.000,-142.000,-137.000,-135.000,-126.000,-104.000
-0.946395,-157.000,-155.000,-153.000,-152.000,-149.000,-146.000,-142.000,-138.000,-135.000,-125.000,-101.000
-0.908766,-158.000,-155.000,-153.000,-152.000,-149.000,-146.000,-142.000,-138.000,-135.000,-125.000,-99.000
-0.871139,-158.000,-155.000,-154.000,-152.000,-150.000,-146.000,-142.000,-138.000,-135.000,-124.000,-98.000
-0.833508,-158.000,-156.000,-154.000,-152.000,-150.000,-147.000,-143.000,-139.000,-136.000,-125.000,-97.000
-0.795880,-159.000,-156.000,-154.000,-153.000,-151.000,-147.000,-144.000,-140.000,-137.000,-125.000,-95.000
-0.758252,-159.000,-157.000,-155.000,-154.000,-152.000,-148.000,-144.000,-141.000,-138.000,-126.000,-95.000
-0.720623,-159.000,-157.000,-155.000,-154.000,-152.000,-149.000,-145.000,-141.000,-138.000,-126.000,-95.000
-0.682994,-160.000,-157.000,-155.000,-154.000,-152.000,-149.000,-145.000,-141.000,-138.000,-126.000,-94.000
-0.645365,-160.000,-157.000,-155.000,-154.000,-152.000,-149.000,-145.000,-141.000,-138.000,-126.000,-94.000
-0.607736,-159.000,-157.000,-155.000,-154.000,-152.000,-149.000,-145.000,-140.000,-137.000,-127.000,-94.000
-0.570107,-159.000,-157.000,-155.000,-154.000,-152.000,-148.000,-144.000,-140.000,-137.000,-127.000,-93.000
-0.532479,-159.000,-156.000,-155.000,-153.000,-152.000,-148.000,-144.000,-140.000,-136.000,-127.000,-93.000
-0.494850,-158.000,-156.000,-154.000,-153.000,-151.000,-148.000,-144.000,-139.000,-136.000,-127.000,-93.000
-0.457222,-158.000,-156.000,-154.000,-153.000,-151.000,-148.000,-143.000,-139.000,-136.000,-127.000,-90.000
-0.419593,-158.000,-155.000,-154.000,-153.000,-151.000,-147.000,-143.000,-139.000,-136.000,-127.000,-88.000
-0.381963,-157.000,-155.000,-154.000,-152.000,-151.000,-147.000,-143.000,-139.000,-136.000,-127.000,-87.000
-0.344335,-157.000,-155.000,-153.000,-152.000,-151.000,-147.000,-144.000,-139.000,-136.000,-128.000,-86.000
-0.306707,-157.000,-155.000,-154.000,-152.000,-151.000,-147.000,-144.000,-140.000,-137.000,-128.000,-84.000
-0.269077,-157.000,-155.000,-154.000,-153.000,-151.000,-148.000,-145.000,-141.000,-137.000,-128.000,-83.000
-0.231448,-157.000,-155.000,-154.000,-153.000,-151.000,-148.000,-145.000,-141.000,-138.000,-128.000,-82.000
