period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-146.000,-145.000,-144.000,-143.000,-142.000,-138.000,-130.000,-100.000,-99.000,-50.000,-50.000
-1.661344,-146.000,-144.000,-144.000,-143.000,-142.000,-137.000,-130.000,-100.000,-99.000,-50.000,-50.000
-1.623715,-145.000,-144.000,-143.000,-143.000,-141.000,-136.000,-129.000,-100.000,-99.000,-50.000,-50.000
-1.586080,-145.000,-144.000,-143.000,-143.000,-141.000,-136.000,-129.000,-100.000,-99.000,-50.000,-50.000
-1.548459,-145.000,-144.000,-143.000,-142.000,-141.000,-136.000,-129.000,-100.000,-99.000,-50.000,-50.000
-1.510829,-145.000,-143.000,-142.000,-142.000,-140.000,-133.000,-125.000,-100.000,-99.000,-50.000,-50.000
-1.473196,-144.000,-143.000,-142.000,-141.000,-140.000,-133.000,-124.000,-100.000,-98.000,-50.000,-50.000
-1.435571,-145.000,-144.000,-143.000,-142.000,-140.000,-132.000,-124.000,-101.000,-99.000,-50.000,-50.000
-1.397940,-145.000,-144.000,-143.000,-142.000,-141.000,-132.000,-124.000,-102.000,-100.000,-50.000,-50.000
-1.360314,-146.000,-145.000,-144.000,-143.000,-141.000,-132.000,-123.000,-102.000,-100.000,-50.000,-50.000
-1.322685,-147.000,-145.000,-144.000,-143.000,-142.000,-132.000,-123.000,-103.000,-100.000,-50.000,-50.000
-1.285050,-148.000,-146.000,-145.000,-144.000,-142.000,-133.000,-123.000,-104.000,-100.000,-50.000,-50.000
-1.247421,-149.000,-147.000,-146.000,-145.000,-143.000,-133.000,-122.000,-104.000,-100.000,-50.000,-50.000
-1.209799,-149.000,-148.000,-147.000,-146.000,-144.000,-137.000,-127.000,-105.000,-101.000,-50.000,-50.000
-1.172166,-150.000,-148.000,-147.000,-147.000,-145.000,-138.000,-127.000,-105.000,-100.000,-50.000,-50.000
-1.134541,-151.000,-149.000,-148.000,-147.000,-145.000,-139.000,-127.000,-106.000,-100.000,-50.000,-50.000
-1.096910,-151.000,-149.000,-148.000,-148.000,-146.000,-140.000,-127.000,-107.000,-100.000,-50.000,-50.000
-1.059279,-151.000,-150.000,-149.000,-148.000,-146.000,-140.000,-128.000,-107.000,-100.000,-50.000,-50.000
-1.021651,-152.000,-150.000,-149.000,-148.000,-146.000,-141.000,-128.000,-108.000,-100.000,-50.000,-50.000
-0.984024,-152.000,-151.000,-149.000,-148.000,-146.000,-141.000,-128.000,-109.000,-100.000,-50.000,-50.000
-0.946395,-153.000,-151.000,-150.000,-149.000,-147.000,-141.000,-128.000,-110.000,-101.000,-50.000,-50.000
-0.908766,-153.000,-151.000,-150.000,-149.000,-147.000,-142.000,-129.000,-111.000,-101.000,-50.000,-50.000
-0.871139,-154.000,-152.000,-151.000,-150.000,-148.000,-142.000,-130.000,-112.000,-102.000,-50.000,-50.000
-0.833508,-154.000,-153.000,-151.000,-151.000,-148.000,-142.000,-130.000,-113.000,-103.000,-50.000,-50.000
-0.795880,-155.000,-153.000,-152.000,-151.000,-149.000,-143.000,-131.000,-115.000,-104.000,-50.000,-50.000
-0.758252,-156.000,-154.000,-153.000,-152.000,-150.000,-144.000,-132.000,-116.000,-105.000,-50.000,-50.000
-0.720623,-156.000,-154.000,-153.000,-152.000,-150.000,-144.000,-133.000,-117.000,-107.000,-50.000,-50.000
