period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-138.000,-137.000,-136.000,-135.000,-132.000,-126.000,-118.000,-109.000,-81.000,-67.000,-67.000
-1.661344,-139.000,-138.000,-136.000,-135.000,-132.000,-126.000,-117.000,-102.000,-81.000,-67.000,-67.000
-1.623715,-139.000,-138.000,-137.000,-135.000,-132.000,-125.000,-117.000,-100.000,-81.000,-67.000,-67.000
-1.586080,-139.000,-138.000,-137.000,-135.000,-132.000,-125.000,-115.000,-100.000,-81.000,-67.000,-67.000
-1.548459,-140.000,-138.000,-137.000,-135.000,-132.000,-125.000,-116.000,-101.000,-81.000,-67.000,-67.000
-1.510829,-141.000,-140.000,-138.000,-137.000,-134.000,-126.000,-116.000,-100.000,-82.000,-68.000,-68.000
-1.473196,-142.000,-140.000,-139.000,-138.000,-135.000,-126.000,-115.000,-100.000,-82.000,-68.000,-68.000
-1.435571,-143.000,-141.000,-140.000,-139.000,-135.000,-126.000,-115.000,-100.000,-83.000,-68.000,-68.000
-1.397940,-144.000,-142.000,-140.000,-139.000,-136.000,-126.000,-114.000,-99.000,-84.000,-68.000,-68.000
-1.360314,-145.000,-143.000,-141.000,-139.000,-136.000,-126.000,-117.000,-101.000,-84.000,-69.000,-69.000
-1.322685,-146.000,-143.000,-141.000,-140.000,-136.000,-127.000,-117.000,-105.000,-85.000,-69.000,-69.000
-1.285050,-146.000,-144.000,-142.000,-140.000,-136.000,-128.000,-118.000,-105.000,-85.000,-69.000,-69.000
-1.247421,-147.000,-144.000,-141.000,-139.000,-135.000,-127.000,-118.000,-106.000,-85.000,-69.000,-69.000
-1.209799,-147.000,-144.000,-141.000,-139.000,-135.000,-127.000,-118.000,-106.000,-85.000,-69.000,-69.000
-1.172166,-148.000,-144.000,-140.000,-138.000,-134.000,-127.000,-117.000,-106.000,-86.000,-69.000,-69.000
-1.134541,-148.000,-143.000,-140.000,-138.000,-134.000,-127.000,-118.000,-106.000,-86.000,-69.000,-69.000
-1.096910,-148.000,-143.000,-140.000,-138.000,-134.000,-128.000,-117.000,-107.000,-87.000,-69.000,-69.000
-1.059279,-148.000,-143.000,-140.000,-138.000,-134.000,-128.000,-118.000,-108.000,-86.000,-69.000,-69.000
-1.021651,-148.000,-142.000,-140.000,-138.000,-134.000,-129.000,-118.000,-109.000,-87.000,-69.000,-69.000
