period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-136.000,-134.000,-133.000,-132.000,-130.000,-124.000,-116.000,-104.000,-80.000,-68.000,-68.000
-1.661344,-136.000,-134.000,-133.000,-132.000,-130.000,-124.000,-113.000,-98.000,-80.000,-68.000,-68.000
-1.623715,-137.000,-135.000,-133.000,-132.000,-130.000,-124.000,-113.000,-98.000,-80.000,-68.000,-68.000
-1.586080,-137.000,-134.000,-133.000,-132.000,-129.000,-122.000,-113.000,-98.000,-80.000,-69.000,-69.000
-1.548459,-137.000,-134.000,-133.000,-132.000,-129.000,-122.000,-113.000,-99.000,-80.000,-69.000,-69.000
-1.510829,-139.000,-136.000,-134.000,-133.000,-131.000,-123.000,-113.000,-98.000,-81.000,-69.000,-69.000
-1.473196,-140.000,-137.000,-136.000,-135.000,-132.000,-123.000,-112.000,-98.000,-82.000,-69.000,-69.000
-1.435571,-141.000,-139.000,-137.000,-135.000,-132.000,-123.000,-112.000,-98.000,-82.000,-69.000,-69.000
-1.397940,-142.000,-139.000,-137.000,-136.000,-132.000,-122.000,-112.000,-98.000,-83.000,-70.000,-70.000
-1.360314,-143.000,-140.000,-138.000,-136.000,-132.000,-122.000,-113.000,-103.000,-82.000,-70.000,-70.000
-1.322685,-144.000,-141.000,-138.000,-136.000,-132.000,-122.000,-113.000,-106.000,-81.000,-70.000,-70.000
-1.285050,-144.000,-141.000,-140.000,-138.000,-134.000,-124.000,-115.000,-106.000,-81.000,-70.000,-70.000
-1.247421,-145.000,-142.000,-140.000,-137.000,-133.000,-123.000,-115.000,-106.000,-81.000,-70.000,-70.000
-1.209799,-145.000,-142.000,-139.000,-137.000,-133.000,-122.000,-115.000,-105.000,-82.000,-70.000,-70.000
-1.172166,-145.000,-141.000,-139.000,-136.000,-132.000,-122.000,-115.000,-105.000,-81.000,-70.000,-70.000
-1.134541,-144.000,-140.000,-138.000,-136.000,-132.000,-122.000,-115.000,-104.000,-81.000,-70.000,-70.000
-1.096910,-144.000,-140.000,-138.000,-135.000,-131.000,-123.000,-115.000,-105.000,-81.000,-70.000,-70.000
-1.059279,-144.000,-140.000,-137.000,-135.000,-131.000,-124.000,-115.000,-105.000,-82.000,-70.000,-70.000
-1.021651,-144.000,-139.000,-137.000,-135.000,-131.000,-124.000,-115.000,-106.000,-82.000,-70.000,-70.000
-0.984024,-144.000,-139.000,-137.000,-135.000,-131.000,-124.000,-115.000,-107.000,-82.000,-70.000,-70.000
-0.946395,-144.000,-139.000,-137.000,-135.000,-132.000,-126.000,-117.000,-108.000,-81.000,-70.000,-70.000
-0.908766,-144.000,-139.000,-137.000,-136.000,-133.000,-126.000,-118.000,-108.000,-81.000,-70.000,-70.000
-0.871139,-143.000,-139.000,-137.000,-136.000,-132.000,-126.000,-118.000,-109.000,-81.000,-70.000,-70.000
-0.833508,-143.000,-139.000,-137.000,-136.000,-133.000,-127.000,-120.000,-115.000,-81.000,-70.000,-70.000
-0.795880,-143.000,-140.000,-138.000,-137.000,-134.000,-129.000,-121.000,-116.000,-81.000,-70.000,-70.000
-0.758252,-143.000,-140.000,-138.000,-136.000,-135.000,-130.000,-121.000,-116.000,-82.000,-71.000,-71.000
-0.720623,-142.000,-140.000,-138.000,-137.000,-135.000,-129.000,-121.000,-116.000,-82.000,-71.000,-71.000
-0.682994,-143.000,-140.000,-139.000,-137.000,-135.000,-129.000,-121.000,-117.000,-84.000,-71.000,-71.000
-0.645365,-143.000,-140.000,-139.000,-137.000,-135.000,-129.000,-121.000,-118.000,-85.000,-71.000,-71.000
-0.607736,-143.000,-140.000,-139.000,-137.000,-135.000,-128.000,-121.000,-118.000,-87.000,-71.000,-71.000
-0.570107,-144.000,-140.000,-139.000,-138.000,-135.000,-128.000,-121.000,-118.000,-88.000,-71.000,-71.000
-0.532479,-144.000,-140.000,-139.000,-138.000,-135.000,-128.000,-121.000,-118.000,-88.000,-71.000,-71.000
-0.494850,-144.000,-141.000,-140.000,-138.000,-136.000,-127.000,-121.000,-118.000,-87.000,-71.000,-71.000
-0.457222,-145.000,-141.000,-140.000,-139.000,-136.000,-127.000,-121.000,-118.000,-86.000,-71.000,-71.000
-0.419593,-144.000,-141.000,-140.000,-138.000,-136.000,-127.000,-120.000,-118.000,-85.000,-71.000,-71.000
-0.381963,-144.000,-141.000,-140.000,-139.000,-136.000,-127.000,-120.000,-118.000,-84.000,-71.000,-71.000
-0.344335,-144.000,-142.000,-141.000,-139.000,-136.000,-127.000,-120.000,-119.000,-84.000,-71.000,-71.000
-0.306707,-144.000,-142.000,-141.000,-140.000,-137.000,-127.000,-121.000,-119.000,-83.000,-71.000,-71.000
-0.269077,-145.000,-143.000,-142.000,-141.000,-138.000,-128.000,-122.000,-120.000,-82.000,-71.000,-71.000
-0.231448,-145.000,-143.000,-142.000,-141.000,-139.000,-128.000,-123.000,-121.000,-82.000,-71.000,-71.000
-0.193820,-145.000,-143.000,-142.000,-141.000,-139.000,-129.000,-123.000,-122.000,-81.000,-71.000,-71.000
-0.156191,-145.000,-144.000,-142.000,-142.000,-140.000,-129.000,-124.000,-122.000,-81.000,-71.000,-71.000
-0.118562,-150.000,-147.000,-146.000,-144.000,-142.000,-133.000,-126.000,-125.000,-80.000,-71.000,-71.000
-0.080934,-150.000,-148.000,-146.000,-146.000,-143.000,-134.000,-128.000,-126.000,-80.000,-71.000,-71.000
-0.043305,-151.000,-149.000,-147.000,-146.000,-143.000,-134.000,-128.000,-127.000,-80.000,-71.000,-71.000
-0.005676,-153.000,-150.000,-148.000,-146.000,-143.000,-135.000,-129.000,-128.000,-79.000,-71.000,-71.000
0.031952,-153.000,-150.000,-148.000,-145.000,-142.000,-134.000,-129.000,-128.000,-79.000,-71.000,-71.000
0.069581,-152.000,-149.000,-148.000,-144.000,-141.000,-134.000,-128.000,-127.000,-79.000,-71.000,-71.000
0.107210,-151.000,-149.000,-147.000,-143.000,-140.000,-133.000,-127.000,-126.000,-79.000,-71.000,-71.000
0.144839,-150.000,-148.000,-146.000,-142.000,-139.000,-133.000,-127.000,-126.000,-78.000,-71.000,-71.000
0.182467,-149.000,-147.000,-145.000,-141.000,-138.000,-132.000,-126.000,-125.000,-78.000,-71.000,-71.000
0.220096,-148.000,-147.000,-145.000,-140.000,-138.000,-132.000,-125.000,-124.000,-78.000,-71.000,-71.000
0.257725,-147.000,-146.000,-144.000,-140.000,-137.000,-131.000,-124.000,-123.000,-78.000,-71.000,-71.000
0.295354,-147.000,-145.000,-143.000,-140.000,-136.000,-130.000,-123.000,-122.000,-78.000,-71.000,-71.000
0.332983,-146.000,-144.000,-142.000,-139.000,-136.000,-129.000,-122.000,-121.000,-78.000,-71.000,-70.000
0.370611,-146.000,-144.000,-141.000,-139.000,-135.000,-128.000,-122.000,-121.000,-78.000,-71.000,-70.000
0.408240,-146.000,-144.000,-141.000,-139.000,-135.000,-128.000,-121.000,-120.000,-78.000,-71.000,-70.000
0.445869,-145.000,-143.000,-141.000,-139.000,-135.000,-128.000,-121.000,-119.000,-77.000,-71.000,-70.000
0.483497,-145.000,-142.000,-140.000,-139.000,-135.000,-127.000,-120.000,-119.000,-78.000,-71.000,-70.000
0.521126,-144.000,-142.000,-140.000,-138.000,-135.000,-126.000,-119.000,-118.000,-78.000,-71.000,-70.000
0.558755,-144.000,-141.000,-140.000,-138.000,-135.000,-125.000,-119.000,-117.000,-78.000,-71.000,-70.000
0.596384,-143.000,-140.000,-139.000,-138.000,-134.000,-123.000,-118.000,-116.000,-78.000,-71.000,-70.000
0.634012,-142.000,-141.000,-138.000,-138.000,-134.000,-122.000,-118.000,-115.000,-78.000,-71.000,-70.000
0.671641,-142.000,-141.000,-138.000,-137.000,-134.000,-121.000,-116.000,-113.000,-77.000,-71.000,-70.000
0.709270,-141.000,-140.000,-138.000,-137.000,-134.000,-121.000,-115.000,-112.000,-77.000,-71.000,-70.000
0.746899,-141.000,-140.000,-138.000,-137.000,-134.000,-122.000,-115.000,-112.000,-77.000,-71.000,-69.000
0.784527,-141.000,-140.000,-138.000,-137.000,-135.000,-122.000,-115.000,-112.000,-76.000,-71.000,-69.000
0.822156,-142.000,-140.000,-139.000,-138.000,-135.000,-123.000,-115.000,-112.000,-75.000,-71.000,-68.000
0.859785,-142.000,-141.000,-140.000,-139.000,-136.000,-123.000,-115.000,-112.000,-75.000,-71.000,-68.000
0.897414,-143.000,-142.000,-141.000,-141.000,-138.000,-123.000,-115.000,-112.000,-75.000,-71.000,-67.000
0.935042,-145.000,-144.000,-144.000,-143.000,-139.000,-125.000,-116.000,-113.000,-75.000,-71.000,-67.000
0.972671,-148.000,-147.000,-146.000,-145.000,-142.000,-127.000,-117.000,-115.000,-75.000,-71.000,-67.000
1.010300,-154.000,-153.000,-152.000,-151.000,-149.000,-129.000,-122.000,-119.000,-75.000,-71.000,-66.000
1.047929,-163.000,-162.000,-161.000,-161.000,-158.000,-136.000,-131.000,-127.000,-75.000,-71.000,-66.000
1.085557,-172.000,-171.000,-170.000,-168.000,-167.000,-144.000,-138.000,-134.000,-75.000,-71.000,-66.000
1.123186,-175.000,-173.000,-173.000,-171.000,-169.000,-149.000,-141.000,-135.000,-75.000,-71.000,-66.000
1.160815,-176.000,-174.000,-173.000,-172.000,-170.000,-151.000,-141.000,-135.000,-75.000,-70.000,-66.000
1.198444,-178.000,-176.000,-174.000,-173.000,-171.000,-153.000,-141.000,-134.000,-75.000,-70.000,-65.000
1.236072,-179.000,-177.000,-175.000,-174.000,-171.000,-154.000,-141.000,-134.000,-75.000,-70.000,-65.000
1.273701,-180.000,-178.000,-177.000,-175.000,-172.000,-155.000,-140.000,-134.000,-75.000,-70.000,-65.000
1.311330,-181.000,-179.000,-177.000,-175.000,-172.000,-156.000,-141.000,-134.000,-75.000,-70.000,-66.000
1.348959,-183.000,-180.000,-178.000,-176.000,-173.000,-156.000,-141.000,-135.000,-75.000,-70.000,-65.000
1.386587,-184.000,-181.000,-179.000,-177.000,-173.000,-157.000,-141.000,-137.000,-75.000,-70.000,-65.000
1.424216,-185.000,-182.000,-179.000,-177.000,-174.000,-158.000,-140.000,-138.000,-74.000,-70.000,-65.000
1.461845,-186.000,-182.000,-180.000,-178.000,-174.000,-158.000,-141.000,-137.000,-74.000,-70.000,-65.000
1.499474,-186.000,-182.000,-180.000,-178.000,-175.000,-158.000,-142.000,-137.000,-74.000,-70.000,-65.000
1.537102,-186.000,-183.000,-180.000,-178.000,-175.000,-158.000,-142.000,-137.000,-74.000,-70.000,-65.000
1.574731,-186.000,-183.000,-181.000,-179.000,-175.000,-158.000,-142.000,-137.000,-74.000,-70.000,-65.000
1.612360,-186.000,-184.000,-181.000,-179.000,-175.000,-158.000,-141.000,-136.000,-74.000,-70.000,-64.000
