period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.661344,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.623715,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.586080,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.548459,-151.000,-151.000,-151.000,-151.000,-150.000,-150.000,-150.000,-150.000,-149.000,-50.000,-50.000
-1.510829,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.473196,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.435571,-152.000,-152.000,-152.000,-152.000,-152.000,-151.000,-151.000,-150.000,-149.000,-50.000,-50.000
-1.397940,-153.000,-153.000,-153.000,-153.000,-153.000,-153.000,-152.000,-151.000,-150.000,-50.000,-50.000
-1.360314,-154.000,-154.000,-154.000,-154.000,-154.000,-154.000,-153.000,-152.000,-150.000,-50.000,-50.000
-1.322685,-156.000,-155.000,-155.000,-155.000,-155.000,-154.000,-153.000,-152.000,-150.000,-50.000,-50.000
-1.285050,-157.000,-157.000,-156.000,-156.000,-156.000,-155.000,-153.000,-151.000,-149.000,-50.000,-50.000
-1.247421,-158.000,-158.000,-157.000,-157.000,-157.000,-155.000,-153.000,-151.000,-149.000,-50.000,-50.000
-1.209799,-159.000,-158.000,-158.000,-158.000,-157.000,-155.000,-153.000,-150.000,-148.000,-50.000,-50.000
-1.172166,-160.000,-159.000,-159.000,-159.000,-158.000,-155.000,-152.000,-150.000,-147.000,-50.000,-50.000
-1.134541,-160.000,-160.000,-159.000,-159.000,-158.000,-155.000,-152.000,-149.000,-147.000,-50.000,-50.000
-1.096910,-161.000,-160.000,-159.000,-159.000,-158.000,-154.000,-152.000,-149.000,-147.000,-50.000,-50.000
-1.059279,-161.000,-160.000,-160.000,-159.000,-158.000,-154.000,-151.000,-149.000,-147.000,-50.000,-50.000
-1.021651,-161.000,-160.000,-159.000,-159.000,-157.000,-154.000,-151.000,-149.000,-146.000,-50.000,-50.000
-0.984024,-161.000,-160.000,-159.000,-158.000,-157.000,-154.000,-151.000,-149.000,-146.000,-50.000,-50.000
-0.946395,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-152.000,-149.000,-146.000,-50.000,-50.000
-0.908766,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-152.000,-149.000,-146.000,-50.000,-50.000
-0.871139,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-152.000,-149.000,-146.000,-50.000,-50.000
-0.833508,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-152.000,-149.000,-146.000,-50.000,-50.000
-0.795880,-162.000,-160.000,-159.000,-158.000,-157.000,-155.000,-152.000,-149.000,-145.000,-50.000,-50.000
-0.758252,-162.000,-160.000,-159.000,-158.000,-157.000,-155.000,-152.000,-149.000,-145.000,-50.000,-50.000
-0.720623,-162.000,-160.000,-159.000,-159.000,-158.000,-155.000,-152.000,-148.000,-144.000,-50.000,-50.000
-0.682994,-162.000,-160.000,-159.000,-159.000,-158.000,-155.000,-152.000,-148.000,-144.000,-50.000,-50.000
-0.645365,-161.000,-159.000,-159.000,-158.000,-157.000,-155.000,-152.000,-148.000,-144.000,-50.000,-50.000
-0.607736,-161.000,-159.000,-159.000,-158.000,-157.000,-155.000,-153.000,-148.000,-144.000,-50.000,-50.000
-0.570107,-161.000,-159.000,-159.000,-158.000,-157.000,-155.000,-153.000,-148.000,-143.000,-50.000,-50.000
-0.532479,-161.000,-159.000,-159.000,-158.000,-157.000,-155.000,-153.000,-148.000,-143.000,-50.000,-50.000
-0.494850,-161.000,-160.000,-159.000,-158.000,-157.000,-155.000,-153.000,-148.000,-143.000,-50.000,-50.000
-0.457222,-162.000,-160.000,-160.000,-159.000,-158.000,-156.000,-153.000,-148.000,-143.000,-50.000,-50.000
