period_log10,p1,p5,p10,p15,p25,p50,p75,p90,p95,p99,p100
-1.698970,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-148.000,-50.000,-50.000
-1.661344,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-148.000,-50.000,-50.000
-1.623715,-150.000,-150.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-148.000,-50.000,-50.000
-1.586080,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-149.000,-148.000,-50.000,-50.000
-1.548459,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-148.000,-50.000,-50.000
-1.510829,-150.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-149.000,-148.000,-50.000,-50.000
-1.473196,-150.000,-150.000,-150.000,-150.000,-150.000,-150.000,-149.000,-149.000,-148.000,-50.000,-50.000
-1.435571,-151.000,-151.000,-151.000,-151.000,-151.000,-151.000,-150.000,-150.000,-148.000,-50.000,-50.000
-1.397940,-152.000,-152.000,-152.000,-152.000,-152.000,-152.000,-151.000,-150.000,-149.000,-50.000,-50.000
-1.360314,-154.000,-154.000,-154.000,-153.000,-153.000,-153.000,-152.000,-151.000,-148.000,-50.000,-50.000
-1.322685,-155.000,-155.000,-155.000,-155.000,-154.000,-153.000,-152.000,-150.000,-148.000,-50.000,-50.000
-1.285050,-156.000,-156.000,-156.000,-155.000,-155.000,-153.000,-152.000,-150.000,-147.000,-50.000,-50.000
-1.247421,-157.000,-157.000,-156.000,-156.000,-156.000,-153.000,-151.000,-149.000,-147.000,-50.000,-50.000
-1.209799,-158.000,-157.000,-157.000,-157.000,-156.000,-153.000,-151.000,-148.000,-146.000,-50.000,-50.000
-1.172166,-158.000,-158.000,-157.000,-157.000,-156.000,-153.000,-150.000,-148.000,-145.000,-50.000,-50.000
-1.134541,-159.000,-158.000,-158.000,-157.000,-156.000,-153.000,-150.000,-147.000,-145.000,-50.000,-50.000
-1.096910,-160.000,-159.000,-158.000,-158.000,-156.000,-153.000,-150.000,-147.000,-144.000,-50.000,-50.000
-1.059279,-160.000,-159.000,-159.000,-158.000,-156.000,-153.000,-150.000,-147.000,-144.000,-50.000,-50.000
-1.021651,-161.000,-159.000,-159.000,-158.000,-156.000,-153.000,-150.000,-147.000,-144.000,-50.000,-50.000
-0.984024,-161.000,-160.000,-159.000,-158.000,-157.000,-153.000,-150.000,-147.000,-145.000,-50.000,-50.000
-0.946395,-161.000,-160.000,-159.000,-158.000,-157.000,-153.000,-150.000,-148.000,-145.000,-50.000,-50.000
-0.908766,-161.000,-160.000,-159.000,-158.000,-157.000,-153.000,-151.000,-148.000,-145.000,-50.000,-50.000
-0.871139,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-151.000,-149.000,-145.000,-50.000,-50.000
-0.833508,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-152.000,-149.000,-146.000,-50.000,-50.000
-0.795880,-161.000,-160.000,-159.000,-158.000,-157.000,-155.000,-152.000,-149.000,-145.000,-50.000,-50.000
-0.758252,-160.000,-159.000,-158.000,-157.000,-156.000,-154.000,-152.000,-149.000,-145.000,-50.000,-50.000
-0.720623,-160.000,-158.000,-157.000,-157.000,-156.000,-154.000,-151.000,-149.000,-145.000,-50.000,-50.000
-0.682994,-159.000,-158.000,-157.000,-156.000,-155.000,-154.000,-151.000,-148.000,-144.000,-50.000,-50.000
-0.645365,-158.000,-157.000,-156.000,-155.000,-154.000,-153.000,-150.000,-148.000,-144.000,-50.000,-50.000
-0.607736,-158.000,-156.000,-155.000,-155.000,-154.000,-152.000,-150.000,-148.000,-144.000,-50.000,-50.000
-0.570107,-157.000,-156.000,-155.000,-155.000,-154.000,-152.000,-150.000,-148.000,-143.000,-50.000,-50.000
-0.532479,-157.000,-156.000,-155.000,-155.000,-154.000,-152.000,-150.000,-148.000,-143.000,-50.000,-50.000
-0.494850,-157.000,-156.000,-155.000,-155.000,-154.000,-152.000,-150.000,-148.000,-143.000,-50.000,-50.000
-0.457222,-159.000,-157.000,-156.000,-156.000,-155.000,-153.000,-151.000,-148.000,-143.000,-50.000,-50.000
-0.419593,-159.000,-158.000,-157.000,-156.000,-155.000,-153.000,-151.000,-148.000,-144.000,-50.000,-50.000
-0.381963,-159.000,-158.000,-157.000,-157.000,-156.000,-154.000,-151.000,-148.000,-144.000,-50.000,-50.000
-0.344335,-162.000,-161.000,-160.000,-159.000,-158.000,-156.000,-153.000,-149.000,-144.000,-50.000,-50.000
-0.306707,-163.000,-162.000,-161.000,-161.000,-160.000,-157.000,-154.000,-149.000,-144.000,-50.000,-50.000
-0.269077,-163.000,-162.000,-161.000,-160.000,-159.000,-157.000,-155.000,-149.000,-144.000,-50.000,-50.000
-0.231448,-163.000,-161.000,-161.000,-160.000,-159.000,-157.000,-155.000,-149.000,-144.000,-50.000,-50.000
-0.193820,-163.000,-161.000,-160.000,-159.000,-158.000,-156.000,-154.000,-149.000,-144.000,-50.000,-50.000
-0.156191,-162.000,-160.000,-159.000,-159.000,-157.000,-155.000,-153.000,-149.000,-144.000,-50.000,-50.000
-0.118562,-162.000,-160.000,-159.000,-158.000,-157.000,-154.000,-152.000,-149.000,-144.000,-50.000,-50.000
-0.080934,-161.000,-159.000,-158.000,-157.000,-156.000,-153.000,-151.000,-148.000,-144.000,-50.000,-50.000
-0.043305,-160.000,-158.000,-157.000,-156.000,-155.000,-152.000,-150.000,-147.000,-143.000,-50.000,-50.000
-0.005676,-159.000,-157.000,-155.000,-154.000,-153.000,-150.000,-148.000,-146.000,-143.000,-50.000,-50.000
0.031952,-158.000,-155.000,-154.000,-153.000,-151.000,-149.000,-147.000,-144.000,-142.000,-50.000,-50.000
0.069581,-157.000,-154.000,-152.000,-151.000,-150.000,-147.000,-145.000,-143.000,-140.000,-50.000,-50.000
0.107210,-155.000,-152.000,-151.000,-150.000,-148.000,-146.000,-143.000,-141.000,-139.000,-50.000,-50.000
0.144839,-154.000,-151.000,-149.000,-148.000,-147.000,-144.000,-142.000,-139.000,-137.000,-50.000,-50.000
0.182467,-153.000,-149.000,-148.000,-147.000,-145.000,-143.000,-140.000,-137.000,-135.000,-50.000,-50.000
0.220096,-151.000,-148.000,-146.000,-145.000,-143.000,-141.000,-138.000,-135.000,-133.000,-50.000,-50.000
0.257725,-149.000,-146.000,-144.000,-143.000,-141.000,-139.000,-136.000,-133.000,-131.000,-50.000,-50.000
0.295354,-148.000,-144.000,-143.000,-142.000,-140.000,-137.000,-135.000,-131.000,-129.000,-50.000,-50.000
0.332983,-146.000,-142.000,-141.000,-140.000,-138.000,-135.000,-133.000,-129.000,-127.000,-50.000,-50.000
0.370611,-144.000,-141.000,-140.000,-139.000,-137.000,-134.000,-131.000,-127.000,-125.000,-50.000,-50.000
0.408240,-142.000,-140.000,-138.000,-137.000,-135.000,-132.000,-130.000,-126.000,-124.000,-50.000,-50.000
0.445869,-141.000,-138.000,-137.000,-136.000,-134.000,-131.000,-128.000,-124.000,-122.000,-50.000,-50.000
0.483497,-139.000,-137.000,-135.000,-134.000,-133.000,-129.000,-126.000,-123.000,-121.000,-50.000,-50.000
0.521126,-138.000,-136.000,-134.000,-133.000,-131.000,-128.000,-125.000,-122.000,-119.000,-50.000,-50.000
0.558755,-137.000,-135.000,-133.000,-132.000,-130.000,-127.000,-124.000,-120.000,-118.000,-50.000,-50.000
0.596384,-137.000,-134.000,-133.000,-131.000,-129.000,-126.000,-123.000,-119.000,-116.000,-50.000,-50.000
0.634012,-137.000,-134.000,-132.000,-131.000,-129.000,-125.000,-122.000,-118.000,-115.000,-50.000,-50.000
0.671641,-137.000,-134.000,-132.000,-131.000,-128.000,-124.000,-121.000,-117.000,-114.000,-50.000,-50.000
0.709270,-137.000,-134.000,-132.000,-131.000,-128.000,-124.000,-120.000,-117.000,-113.000,-50.000,-50.000
0.746899,-137.000,-135.000,-133.000,-131.000,-128.000,-124.000,-120.000,-116.000,-113.000,-50.000,-50.000
0.784527,-138.000,-136.000,-133.000,-132.000,-129.000,-124.000,-120.000,-116.000,-113.000,-50.000,-50.000
0.822156,-139.000,-138.000,-135.000,-133.000,-131.000,-124.000,-120.000,-116.000,-113.000,-50.000,-50.000
0.859785,-141.000,-139.000,-136.000,-135.000,-132.000,-125.000,-120.000,-116.000,-113.000,-50.000,-50.000
0.897414,-142.000,-140.000,-138.000,-136.000,-133.000,-126.000,-121.000,-117.000,-114.000,-50.000,-50.000
0.935042,-142.000,-140.000,-139.000,-137.000,-135.000,-128.000,-122.000,-118.000,-115.000,-50.000,-50.000
0.972671,-143.000,-141.000,-140.000,-138.000,-136.000,-131.000,-124.000,-120.000,-117.000,-50.000,-50.000
1.010300,-145.000,-143.000,-142.000,-141.000,-139.000,-134.000,-127.000,-122.000,-119.000,-50.000,-50.000
1.047929,-149.000,-147.000,-146.000,-145.000,-144.000,-139.000,-133.000,-126.000,-123.000,-50.000,-50.000
1.085557,-154.000,-152.000,-151.000,-150.000,-148.000,-145.000,-139.000,-132.000,-126.000,-50.000,-50.000
1.123186,-158.000,-156.000,-155.000,-154.000,-152.000,-148.000,-144.000,-136.000,-128.000,-50.000,-50.000
1.160815,-160.000,-158.000,-157.000,-156.000,-154.000,-151.000,-147.000,-140.000,-130.000,-50.000,-50.000
1.198444,-161.000,-159.000,-158.000,-157.000,-155.000,-151.000,-148.000,-141.000,-130.000,-50.000,-50.000
1.236072,-161.000,-159.000,-159.000,-158.000,-156.000,-152.000,-148.000,-141.000,-130.000,-50.000,-50.000
1.273701,-161.000,-160.000,-159.000,-159.000,-157.000,-154.000,-149.000,-141.000,-129.000,-50.000,-50.000
1.311330,-163.000,-161.000,-160.000,-160.000,-158.000,-156.000,-150.000,-141.000,-130.000,-50.000,-50.000
1.348959,-165.000,-164.000,-163.000,-162.000,-161.000,-158.000,-152.000,-142.000,-130.000,-50.000,-50.000
1.386587,-169.000,-167.000,-166.000,-165.000,-164.000,-160.000,-154.000,-143.000,-131.000,-50.000,-50.000
1.424216,-173.000,-171.000,-170.000,-169.000,-168.000,-164.000,-157.000,-145.000,-133.000,-50.000,-50.000
1.461845,-176.000,-175.000,-174.000,-173.000,-171.000,-167.000,-159.000,-146.000,-134.000,-50.000,-50.000
1.499474,-179.000,-177.000,-176.000,-176.000,-174.000,-171.000,-162.000,-148.000,-136.000,-50.000,-50.000
